,iteration,smart_agent,strategy,agent,money
108,8,retail,Dumber,Factory,-260.8769280222326
109,9,retail,Smart,Retail,545.8919061189297
110,9,retail,Smart,Wholesale,578.8072749297094
111,9,retail,Smart,Regional Warehouse,891.9298320833664
112,9,retail,Smart,Factory,545.8919061189297
113,9,retail,Dumb,Retail,-440.8903221050422
114,9,retail,Dumb,Wholesale,-4504.271548593237
115,9,retail,Dumb,Regional Warehouse,-4357.467826702836
116,9,retail,Dumb,Factory,-440.8903221050422
117,9,retail,Dumber,Retail,-4606.418349551855
118,9,retail,Dumber,Wholesale,-4399.772016324733
119,9,retail,Dumber,Regional Warehouse,-4308.128696738103
120,9,retail,Dumber,Factory,-4606.418349551855
121,10,retail,Smart,Retail,1879.937078164562
122,10,retail,Smart,Wholesale,-233.08311146604183
123,10,retail,Smart,Regional Warehouse,3396.684765546021
124,10,retail,Smart,Factory,1879.937078164562
125,10,retail,Dumb,Retail,-320.19258519179175
126,10,retail,Dumb,Wholesale,-8186.894626568072
127,10,retail,Dumb,Regional Warehouse,-6476.461031259462
128,10,retail,Dumb,Factory,-320.19258519179175
129,10,retail,Dumber,Retail,-7415.003433458798
130,10,retail,Dumber,Wholesale,-8075.514526975047
131,10,retail,Dumber,Regional Warehouse,-6333.033658208148
132,10,retail,Dumber,Factory,-7415.003433458798
133,11,retail,Smart,Retail,4561.652872242656
134,11,retail,Smart,Wholesale,8303.748028630993
135,11,retail,Smart,Regional Warehouse,4765.002535121512
136,11,retail,Smart,Factory,4561.652872242656
137,11,retail,Dumb,Retail,1229.8443230284797
138,11,retail,Dumb,Wholesale,-3799.676516303079
139,11,retail,Dumb,Regional Warehouse,-6228.707301161162
140,11,retail,Dumb,Factory,1229.8443230284797
141,11,retail,Dumber,Retail,-6365.91256809211
142,11,retail,Dumber,Wholesale,-3467.5897733450906
143,11,retail,Dumber,Regional Warehouse,-6074.642812355222
144,11,retail,Dumber,Factory,-6365.91256809211
145,12,retail,Smart,Retail,5625.590670293984
146,12,retail,Smart,Wholesale,13300.25509086571
147,12,retail,Smart,Regional Warehouse,11051.222734350727
148,12,retail,Smart,Factory,5625.590670293984
149,12,retail,Dumb,Retail,2678.5628843750837
150,12,retail,Dumb,Wholesale,8263.526803678593
151,12,retail,Dumb,Regional Warehouse,7963.628887568288
152,12,retail,Dumb,Factory,2678.5628843750837
153,12,retail,Dumber,Retail,3292.330208193859
154,12,retail,Dumber,Wholesale,8638.13122059574
155,12,retail,Dumber,Regional Warehouse,8145.690281544266
156,12,retail,Dumber,Factory,3292.330208193859
157,13,retail,Smart,Retail,10144.712004387009
158,13,retail,Smart,Wholesale,14238.470328388908
159,13,retail,Smart,Regional Warehouse,8391.974993415175
160,13,retail,Smart,Factory,10144.712004387009
161,13,retail,Dumb,Retail,4989.076262633945
162,13,retail,Dumb,Wholesale,7175.801741773167
163,13,retail,Dumb,Regional Warehouse,2974.2233514869295
164,13,retail,Dumb,Factory,4989.076262633945
165,13,retail,Dumber,Retail,3408.1516867319842
166,13,retail,Dumber,Wholesale,7547.114410565948
167,13,retail,Dumber,Regional Warehouse,3160.1049061603
168,13,retail,Dumber,Factory,3408.1516867319842
169,14,retail,Smart,Retail,5980.885811200984
170,14,retail,Smart,Wholesale,2735.304831669249
171,14,retail,Smart,Regional Warehouse,9459.457000076167
172,14,retail,Smart,Factory,5980.885811200984
173,14,retail,Dumb,Retail,3294.2389337065224
174,14,retail,Dumb,Wholesale,1360.1651184669986
175,14,retail,Dumb,Regional Warehouse,5481.684914867197
176,14,retail,Dumb,Factory,3294.2389337065224
177,14,retail,Dumber,Retail,3160.560749800787
