,iteracion,agente,estrategia,desempeño
223,6,Mayoreo,Todos aprendieron,2.10057313451935
228,7,Fábrica,Nadie aprendió,0.0
229,7,Fábrica,Solo otro agente aprendió,2.0446075789101235
230,7,Fábrica,Solo este agente aprendió,0.8558016361678537
231,7,Fábrica,Todos aprendieron,3.200044637417039
236,7,Almacén Regional,Nadie aprendió,0.0
237,7,Almacén Regional,Solo otro agente aprendió,0.211874309839254
238,7,Almacén Regional,Solo este agente aprendió,0.7294777864743497
239,7,Almacén Regional,Todos aprendieron,3.2414046664382044
244,7,Menudeo,Nadie aprendió,0.0
245,7,Menudeo,Solo otro agente aprendió,1.4776108099490384
246,7,Menudeo,Solo este agente aprendió,1.4227984051289388
247,7,Menudeo,Todos aprendieron,3.200044637417039
252,7,Mayoreo,Nadie aprendió,0.0
253,7,Mayoreo,Solo otro agente aprendió,-0.9281396281109351
254,7,Mayoreo,Solo este agente aprendió,1.700609609481826
260,8,Fábrica,Nadie aprendió,0.0
261,8,Fábrica,Solo otro agente aprendió,1.2101633759337145
262,8,Fábrica,Solo este agente aprendió,0.8799898853686153
263,8,Fábrica,Todos aprendieron,1.69555235320345
268,8,Almacén Regional,Nadie aprendió,0.0
269,8,Almacén Regional,Solo otro agente aprendió,-0.620112219668499
270,8,Almacén Regional,Solo este agente aprendió,-1.5370902052119586
276,8,Menudeo,Nadie aprendió,0.0
277,8,Menudeo,Solo otro agente aprendió,0.941249471656263
278,8,Menudeo,Solo este agente aprendió,1.1489037896460668
279,8,Menudeo,Todos aprendieron,1.69555235320345
284,8,Mayoreo,Nadie aprendió,0.0
292,9,Fábrica,Nadie aprendió,0.0
293,9,Fábrica,Solo otro agente aprendió,1.6278890906070191
294,9,Fábrica,Solo este agente aprendió,1.3858341364297293
295,9,Fábrica,Todos aprendieron,3.426448968181886
300,9,Almacén Regional,Nadie aprendió,0.0
301,9,Almacén Regional,Solo otro agente aprendió,-0.9285821523006175
302,9,Almacén Regional,Solo este agente aprendió,-0.24675840032237845
308,9,Menudeo,Nadie aprendió,0.0
309,9,Menudeo,Solo otro agente aprendió,2.0629618116628627
310,9,Menudeo,Solo este agente aprendió,0.9507614153738859
311,9,Menudeo,Todos aprendieron,3.426448968181886
316,9,Mayoreo,Nadie aprendió,0.0
317,9,Mayoreo,Solo otro agente aprendió,0.0771309594479618
318,9,Mayoreo,Solo este agente aprendió,0.7922374643186691
319,9,Mayoreo,Todos aprendieron,4.080600932947817
324,10,Fábrica,Nadie aprendió,0.0
325,10,Fábrica,Solo otro agente aprendió,2.0252376356864477
326,10,Fábrica,Solo este agente aprendió,0.9157796732694686
327,10,Fábrica,Todos aprendieron,3.266368244604757
332,10,Almacén Regional,Nadie aprendió,0.0
333,10,Almacén Regional,Solo otro agente aprendió,-0.5021499561536696
334,10,Almacén Regional,Solo este agente aprendió,1.3966202636305705
340,10,Menudeo,Nadie aprendió,0.0
341,10,Menudeo,Solo otro agente aprendió,1.966833296944695
342,10,Menudeo,Solo este agente aprendió,0.9741840120112213
343,10,Menudeo,Todos aprendieron,3.266368244604757
348,10,Mayoreo,Nadie aprendió,0.0
349,10,Mayoreo,Solo otro agente aprendió,-0.881094221591026
350,10,Mayoreo,Solo este agente aprendió,1.590229234695066
356,11,Fábrica,Nadie aprendió,0.0
357,11,Fábrica,Solo otro agente aprendió,1.2196982644057364
358,11,Fábrica,Solo este agente aprendió,1.2460972012437688
359,11,Fábrica,Todos aprendieron,2.3340170438775774
364,11,Almacén Regional,Nadie aprendió,0.0
365,11,Almacén Regional,Solo otro agente aprendió,-5.7609239534410674
366,11,Almacén Regional,Solo este agente aprendió,3.6178348298532255
372,11,Menudeo,Nadie aprendió,0.0
373,11,Menudeo,Solo otro agente aprendió,1.3917251052290416
374,11,Menudeo,Solo este agente aprendió,1.0740703604204638
375,11,Menudeo,Todos aprendieron,2.3340170438775774
380,11,Mayoreo,Nadie aprendió,0.0
381,11,Mayoreo,Solo otro agente aprendió,0.84594094720435
382,11,Mayoreo,Solo este agente aprendió,-0.012830981736344784
388,12,Fábrica,Nadie aprendió,0.0
389,12,Fábrica,Solo otro agente aprendió,4.31824396095468
390,12,Fábrica,Solo este agente aprendió,1.2399378049100098
396,12,Almacén Regional,Nadie aprendió,0.0
397,12,Almacén Regional,Solo otro agente aprendió,-0.33471221127913764
398,12,Almacén Regional,Solo este agente aprendió,-0.7159734357736243
399,12,Almacén Regional,Todos aprendieron,1.4214482568367546
404,12,Menudeo,Nadie aprendió,0.0
405,12,Menudeo,Solo otro agente aprendió,3.2968529240736517
406,12,Menudeo,Solo este agente aprendió,2.261328841791038
412,12,Mayoreo,Nadie aprendió,0.0
413,12,Mayoreo,Solo otro agente aprendió,-0.382980889103626
414,12,Mayoreo,Solo este agente aprendió,-0.7226225631817567
415,12,Mayoreo,Todos aprendieron,2.249052515578183
420,13,Fábrica,Nadie aprendió,0.0
421,13,Fábrica,Solo otro agente aprendió,4.0094171809273185
422,13,Fábrica,Solo este agente aprendió,-1.3607801884192452
428,13,Almacén Regional,Nadie aprendió,0.0
429,13,Almacén Regional,Solo otro agente aprendió,-0.4139644019328471
430,13,Almacén Regional,Solo este agente aprendió,-0.6572409743964739
431,13,Almacén Regional,Todos aprendieron,2.1058685460459428
436,13,Menudeo,Nadie aprendió,0.0
437,13,Menudeo,Solo otro agente aprendió,0.4803866665574622
438,13,Menudeo,Solo este agente aprendió,2.1682503259506105
444,13,Mayoreo,Nadie aprendió,0.0
445,13,Mayoreo,Solo otro agente aprendió,0.05184715698852815
446,13,Mayoreo,Solo este agente aprendió,-1.1445329759103589
447,13,Mayoreo,Todos aprendieron,1.842195907458377
452,14,Fábrica,Nadie aprendió,0.0
453,14,Fábrica,Solo otro agente aprendió,2.889209695850497
454,14,Fábrica,Solo este agente aprendió,1.500458801770012
460,14,Almacén Regional,Nadie aprendió,0.0
461,14,Almacén Regional,Solo otro agente aprendió,-0.014818021821451885
462,14,Almacén Regional,Solo este agente aprendió,-1.1361774580098893
463,14,Almacén Regional,Todos aprendieron,4.994528447142004
468,14,Menudeo,Nadie aprendió,0.0
469,14,Menudeo,Solo otro agente aprendió,2.5631322052665313
470,14,Menudeo,Solo este agente aprendió,1.8265362923539779
476,14,Mayoreo,Nadie aprendió,0.0
477,14,Mayoreo,Solo otro agente aprendió,0.4800092591771822
478,14,Mayoreo,Solo este agente aprendió,0.384728667741526
479,14,Mayoreo,Todos aprendieron,4.021645875580732
484,15,Fábrica,Nadie aprendió,0.0
485,15,Fábrica,Solo otro agente aprendió,1.2642415965751794
486,15,Fábrica,Solo este agente aprendió,0.9571701025968553
487,15,Fábrica,Todos aprendieron,1.786558888911083
492,15,Almacén Regional,Nadie aprendió,0.0
493,15,Almacén Regional,Solo otro agente aprendió,0.18577460624834224
494,15,Almacén Regional,Solo este agente aprendió,0.7156338399226371
500,15,Menudeo,Nadie aprendió,0.0
501,15,Menudeo,Solo otro agente aprendió,0.9480407734052182
502,15,Menudeo,Solo este agente aprendió,1.2733709257668164
503,15,Menudeo,Todos aprendieron,1.786558888911083
508,15,Mayoreo,Nadie aprendió,0.0
509,15,Mayoreo,Solo otro agente aprendió,0.6918968404582716
510,15,Mayoreo,Solo este agente aprendió,0.1814503240455741
511,15,Mayoreo,Todos aprendieron,4.003207241380502
516,16,Fábrica,Nadie aprendió,0.0
517,16,Fábrica,Solo otro agente aprendió,1.7440847943574576
518,16,Fábrica,Solo este agente aprendió,0.8835402716056405
519,16,Fábrica,Todos aprendieron,2.7776187807148096
524,16,Almacén Regional,Nadie aprendió,0.0
525,16,Almacén Regional,Solo otro agente aprendió,-0.48828397054767564
526,16,Almacén Regional,Solo este agente aprendió,-0.6345277326678276
527,16,Almacén Regional,Todos aprendieron,4.4378114436386396
532,16,Menudeo,Nadie aprendió,0.0
533,16,Menudeo,Solo otro agente aprendió,1.6243049295535568
534,16,Menudeo,Solo este agente aprendió,1.0033201364095412
535,16,Menudeo,Todos aprendieron,2.7776187807148096
540,16,Mayoreo,Nadie aprendió,0.0
541,16,Mayoreo,Solo otro agente aprendió,-1.3360704758176947
542,16,Mayoreo,Solo este agente aprendió,2.2201980728562156
543,16,Mayoreo,Todos aprendieron,3.5297300806579823
548,17,Fábrica,Nadie aprendió,0.0
549,17,Fábrica,Solo otro agente aprendió,1.355178625252731
550,17,Fábrica,Solo este agente aprendió,1.1831262181434372
551,17,Fábrica,Todos aprendieron,2.475373048780263
556,17,Almacén Regional,Nadie aprendió,0.0
557,17,Almacén Regional,Solo otro agente aprendió,-0.23981264226603002
558,17,Almacén Regional,Solo este agente aprendió,1.1770585836256997
559,17,Almacén Regional,Todos aprendieron,3.164541083192726
564,17,Menudeo,Nadie aprendió,0.0
565,17,Menudeo,Solo otro agente aprendió,1.4136639004210692
566,17,Menudeo,Solo este agente aprendió,1.1246409429750988
567,17,Menudeo,Todos aprendieron,2.475373048780263
572,17,Mayoreo,Nadie aprendió,0.0
573,17,Mayoreo,Solo otro agente aprendió,0.6596734637701274
574,17,Mayoreo,Solo este agente aprendió,0.29250584920297024
575,17,Mayoreo,Todos aprendieron,1.8581463130581872
580,18,Fábrica,Nadie aprendió,0.0
581,18,Fábrica,Solo otro agente aprendió,0.962507143936297
582,18,Fábrica,Solo este agente aprendió,1.010964191523255
583,18,Fábrica,Todos aprendieron,1.3364068171080892
588,18,Almacén Regional,Nadie aprendió,0.0
589,18,Almacén Regional,Solo otro agente aprendió,-0.08192595254107306
590,18,Almacén Regional,Solo este agente aprendió,1.0519742055261176
591,18,Almacén Regional,Todos aprendieron,1.9314361412673064
596,18,Menudeo,Nadie aprendió,0.0
597,18,Menudeo,Solo otro agente aprendió,1.0008231734201452
598,18,Menudeo,Solo este agente aprendió,0.9726481620394068
599,18,Menudeo,Todos aprendieron,1.3364068171080892
604,18,Mayoreo,Nadie aprendió,0.0
605,18,Mayoreo,Solo otro agente aprendió,0.40180787861106687
606,18,Mayoreo,Solo este agente aprendió,0.5734123137616921
607,18,Mayoreo,Todos aprendieron,1.1049519471131615
612,19,Fábrica,Nadie aprendió,0.0
613,19,Fábrica,Solo otro agente aprendió,2.096895348959123
614,19,Fábrica,Solo este agente aprendió,0.888561544397084
615,19,Fábrica,Todos aprendieron,3.346570844917772
620,19,Almacén Regional,Nadie aprendió,0.0
621,19,Almacén Regional,Solo otro agente aprendió,-0.20833811497438404
622,19,Almacén Regional,Solo este agente aprendió,-1.0587612368236927
628,19,Menudeo,Nadie aprendió,0.0
629,19,Menudeo,Solo otro agente aprendió,1.748286916024815
630,19,Menudeo,Solo este agente aprendió,1.237169977331392
631,19,Menudeo,Todos aprendieron,3.346570844917772
636,19,Mayoreo,Nadie aprendió,0.0
637,19,Mayoreo,Solo otro agente aprendió,0.2000017797877003
638,19,Mayoreo,Solo este agente aprendió,0.6115550820126607
644,20,Fábrica,Nadie aprendió,0.0
646,20,Fábrica,Solo este agente aprendió,2.691258383324377
652,20,Almacén Regional,Nadie aprendió,0.0
653,20,Almacén Regional,Solo otro agente aprendió,-0.1920613736506032
654,20,Almacén Regional,Solo este agente aprendió,-0.923062925240956
655,20,Almacén Regional,Todos aprendieron,4.131330826437653
660,20,Menudeo,Nadie aprendió,0.0
662,20,Menudeo,Solo este agente aprendió,0.07705041414066581
668,20,Mayoreo,Nadie aprendió,0.0
669,20,Mayoreo,Solo otro agente aprendió,0.7311459059401529
670,20,Mayoreo,Solo este agente aprendió,0.19404400889157655
671,20,Mayoreo,Todos aprendieron,2.6388941462848687
676,21,Fábrica,Nadie aprendió,0.0
677,21,Fábrica,Solo otro agente aprendió,0.6907570069129421
678,21,Fábrica,Solo este agente aprendió,0.6206503849245746
684,21,Almacén Regional,Nadie aprendió,0.0
685,21,Almacén Regional,Solo otro agente aprendió,-0.6910772202045917
686,21,Almacén Regional,Solo este agente aprendió,-0.38127529469912047
687,21,Almacén Regional,Todos aprendieron,2.431580508347722
692,21,Menudeo,Nadie aprendió,0.0
693,21,Menudeo,Solo otro agente aprendió,1.8606111606246998
694,21,Menudeo,Solo este agente aprendió,-0.5492037687871829
700,21,Mayoreo,Nadie aprendió,0.0
701,21,Mayoreo,Solo otro agente aprendió,-0.47149355946881893
702,21,Mayoreo,Solo este agente aprendió,-0.9521958961468534
708,22,Fábrica,Nadie aprendió,0.0
709,22,Fábrica,Solo otro agente aprendió,3.1806011474285834
710,22,Fábrica,Solo este agente aprendió,1.3859061358880704
716,22,Almacén Regional,Nadie aprendió,0.0
717,22,Almacén Regional,Solo otro agente aprendió,-0.7885195189732489
718,22,Almacén Regional,Solo este agente aprendió,-0.37077523295180725
724,22,Menudeo,Nadie aprendió,0.0
725,22,Menudeo,Solo otro agente aprendió,1.9556503313479117
726,22,Menudeo,Solo este agente aprendió,2.6108569519687417
732,22,Mayoreo,Nadie aprendió,0.0
733,22,Mayoreo,Solo otro agente aprendió,0.8722253494465673
734,22,Mayoreo,Solo este agente aprendió,0.049864512183779325
735,22,Mayoreo,Todos aprendieron,2.7274477538574127
740,23,Fábrica,Nadie aprendió,0.0
741,23,Fábrica,Solo otro agente aprendió,1.1733065529024183
742,23,Fábrica,Solo este agente aprendió,1.4135799095425567
743,23,Fábrica,Todos aprendieron,2.58215030410586
748,23,Almacén Regional,Nadie aprendió,0.0
749,23,Almacén Regional,Solo otro agente aprendió,1.2413666088977402
750,23,Almacén Regional,Solo este agente aprendió,-2.4057073282508528
756,23,Menudeo,Nadie aprendió,0.0
757,23,Menudeo,Solo otro agente aprendió,1.678761602539251
758,23,Menudeo,Solo este agente aprendió,0.908124859905724
759,23,Menudeo,Todos aprendieron,2.58215030410586
764,23,Mayoreo,Nadie aprendió,0.0
765,23,Mayoreo,Solo otro agente aprendió,0.17304667809930643
766,23,Mayoreo,Solo este agente aprendió,0.700223023679965
767,23,Mayoreo,Todos aprendieron,4.097062884791027
772,24,Fábrica,Nadie aprendió,0.0
773,24,Fábrica,Solo otro agente aprendió,1.347782331958113
774,24,Fábrica,Solo este agente aprendió,1.4917167369694948
775,24,Fábrica,Todos aprendieron,2.9739808525285567
780,24,Almacén Regional,Nadie aprendió,0.0
788,24,Menudeo,Nadie aprendió,0.0
789,24,Menudeo,Solo otro agente aprendió,1.5802987612505066
790,24,Menudeo,Solo este agente aprendió,1.2592003076771012
791,24,Menudeo,Todos aprendieron,2.9739808525285567
796,24,Mayoreo,Nadie aprendió,0.0
797,24,Mayoreo,Solo otro agente aprendió,0.15029378054995018
798,24,Mayoreo,Solo este agente aprendió,0.7794411091691491
799,24,Mayoreo,Todos aprendieron,2.6351145530594495
804,25,Fábrica,Nadie aprendió,0.0
805,25,Fábrica,Solo otro agente aprendió,0.870018700589839
806,25,Fábrica,Solo este agente aprendió,0.9962718322541871
807,25,Fábrica,Todos aprendieron,1.0417892341927901
812,25,Almacén Regional,Nadie aprendió,0.0
813,25,Almacén Regional,Solo otro agente aprendió,0.2678933017357359
814,25,Almacén Regional,Solo este agente aprendió,0.7222990218873552
815,25,Almacén Regional,Todos aprendieron,1.0897603584225122
820,25,Menudeo,Nadie aprendió,0.0
821,25,Menudeo,Solo otro agente aprendió,0.9107569218976784
822,25,Menudeo,Solo este agente aprendió,0.9555336109463475
823,25,Menudeo,Todos aprendieron,1.0417892341927901
828,25,Mayoreo,Nadie aprendió,0.0
