,0
0,28
1,3
2,50
3,0
4,46
5,52
6,42
7,55
8,53
9,5
10,48
11,39
12,57
13,15
14,57
15,0
16,0
17,4
18,10
19,22
20,47
21,54
22,47
23,72
24,58
25,0
26,64
27,10
28,63
29,74
30,20
31,0
32,0
33,0
34,43
35,66
36,12
37,70
38,22
39,62
40,51
41,54
42,44
43,0
44,0
45,34
46,32
47,19
48,67
49,23
50,25
51,19
52,53
53,4
54,16
55,0
56,0
57,36
58,60
59,65
60,31
61,0
62,26
63,67
64,0
65,0
66,0
67,29
68,47
69,3
70,44
71,13
72,0
73,65
74,64
75,61
76,31
77,0
78,0
79,49
80,39
81,29
82,37
83,0
84,7
85,38
86,39
87,0
88,64
89,17
90,0
91,44
92,37
93,39
94,0
95,29
96,0
97,2
98,0
99,0
100,7
101,0
102,18
103,4
104,21
105,59
106,17
107,16
108,26
109,60
110,58
111,37
112,34
113,0
114,61
115,0
116,33
117,54
118,21
119,34
120,39
121,27
122,36
123,16
124,15
125,1
126,36
127,0
128,13
129,45
130,0
131,39
132,64
133,67
134,28
135,18
136,58
137,48
138,70
139,0
140,16
141,0
142,69
143,44
144,65
145,60
146,3
147,0
148,36
149,66
150,62
151,31
152,57
153,35
154,9
155,57
156,20
157,26
158,0
159,47
160,54
161,9
162,71
163,6
164,0
165,44
166,17
167,0
168,74
169,0
170,30
171,0
172,1
173,71
174,67
175,1
176,16
177,17
178,36
179,59
180,56
181,48
182,9
183,0
184,0
185,26
186,12
187,0
188,51
189,28
190,40
191,43
192,4
193,13
194,51
195,64
196,49
197,43
198,72
199,0
200,9
201,55
202,11
203,35
204,4
205,69
206,53
207,23
208,0
209,19
210,21
211,12
212,13
213,8
214,68
215,22
216,58
217,36
218,11
219,46
220,19
221,64
222,38
223,11
224,44
225,14
226,19
227,60
228,51
229,3
230,35
231,28
232,4
233,34
234,16
235,10
236,71
237,5
238,16
239,1
240,56
241,14
242,37
243,61
244,57
245,60
246,42
247,70
248,10
249,6
250,45
251,31
252,68
253,0
254,55
255,62
256,11
257,55
258,43
259,39
260,60
261,0
262,0
263,0
264,8
265,40
266,60
267,58
268,60
269,23
270,1
271,51
272,8
273,31
274,62
275,34
276,5
277,8
278,0
279,0
280,48
281,67
282,13
283,11
284,0
285,0
286,0
287,0
288,74
289,0
290,19
291,19
292,50
293,11
294,0
295,54
296,0
297,67
298,48
299,0
300,0
301,0
302,6
303,60
304,0
305,29
306,73
307,22
308,25
309,35
310,44
311,29
312,68
313,12
314,64
315,26
316,0
317,8
318,58
319,39
320,0
321,0
322,55
323,19
324,49
325,0
326,0
327,32
328,60
329,10
330,12
331,22
332,32
333,34
334,0
335,73
336,33
337,23
338,0
339,32
340,70
341,62
342,0
343,29
344,1
345,6
346,14
347,1
348,11
349,14
350,0
351,33
352,41
353,0
354,24
355,23
356,0
357,4
358,44
359,5
360,38
361,15
362,64
363,35
364,35
