,0
0,35
1,0
2,0
3,28
4,0
5,43
6,0
7,31
8,0
9,0
10,0
11,63
12,0
13,31
14,0
15,13
16,17
17,52
18,0
19,0
20,0
21,0
22,26
23,0
24,0
25,2
26,6
27,0
28,0
29,7
30,69
31,0
32,34
33,0
34,40
35,0
36,42
37,13
38,0
39,40
40,0
41,0
42,6
43,0
44,0
45,0
46,0
47,0
48,0
49,56
50,25
51,51
52,72
53,0
54,59
55,0
56,0
57,0
58,55
59,12
60,46
61,0
62,0
63,0
64,0
65,14
66,0
67,0
68,9
69,0
70,0
71,54
72,0
73,0
74,0
75,0
76,11
77,4
78,21
79,0
80,0
81,0
82,0
83,46
84,0
85,54
86,9
87,0
88,4
89,0
90,0
91,59
92,0
93,9
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,45
103,57
104,35
105,0
106,33
107,0
108,0
109,45
110,45
111,7
112,0
113,51
114,38
115,68
116,36
117,70
118,0
119,3
120,64
121,0
122,66
123,57
124,14
125,39
126,0
127,47
128,60
129,0
130,0
131,23
132,0
133,37
134,0
135,0
136,16
137,0
138,34
139,6
140,51
141,0
142,0
143,0
144,15
145,71
146,30
147,64
148,0
149,0
150,0
151,50
152,0
153,0
154,9
155,0
156,0
157,0
158,41
159,69
160,0
161,45
162,11
163,0
164,34
165,25
166,29
167,14
168,57
169,0
170,0
171,37
172,0
173,23
174,0
175,2
176,0
177,0
178,27
179,45
180,0
181,0
182,16
183,0
184,0
185,7
186,0
187,0
188,0
189,0
190,0
191,58
192,0
193,51
194,40
195,23
196,0
197,38
198,0
199,0
200,0
201,1
202,49
203,0
204,0
205,0
206,18
207,21
208,5
209,1
210,56
211,27
212,14
213,0
214,0
215,33
216,0
217,0
218,57
219,16
220,38
221,58
222,61
223,65
224,18
225,28
226,15
227,12
228,47
229,0
230,10
231,48
232,5
233,17
234,51
235,11
236,30
237,2
238,17
239,14
240,9
241,25
242,26
243,74
244,27
245,0
246,16
247,32
248,0
249,36
250,54
251,32
252,0
253,10
254,4
255,32
256,32
257,0
258,0
259,0
260,0
261,31
262,0
263,68
264,0
265,65
266,0
267,54
268,61
269,0
270,70
271,0
272,32
273,0
274,0
275,9
276,0
277,13
278,44
279,0
280,43
281,0
282,0
283,60
284,44
285,0
286,19
287,0
288,54
289,0
290,23
291,0
292,3
293,7
294,0
295,32
296,0
297,18
298,52
299,0
300,0
301,0
302,0
303,0
304,6
305,0
306,6
307,0
308,0
309,55
310,0
311,13
312,26
313,0
314,0
315,29
316,0
317,0
318,24
319,0
320,0
321,0
322,0
323,23
324,62
325,0
326,0
327,55
328,17
329,0
330,0
331,0
332,0
333,0
334,0
335,45
336,30
337,17
338,71
339,0
340,48
341,0
342,0
343,0
344,0
345,59
346,71
347,54
348,0
349,0
350,0
351,54
352,62
353,0
354,0
355,0
356,21
357,36
358,0
359,0
360,0
361,23
362,0
363,13
364,0
