,0
0,13
1,32
2,0
3,57
4,0
5,0
6,0
7,59
8,0
9,68
10,25
11,0
12,0
13,67
14,63
15,0
16,7
17,14
18,0
19,0
20,0
21,0
22,0
23,70
24,38
25,45
26,19
27,0
28,12
29,6
30,0
31,24
32,0
33,0
34,73
35,0
36,33
37,0
38,16
39,0
40,0
41,28
42,36
43,0
44,0
45,0
46,0
47,0
48,0
49,15
50,13
51,0
52,69
53,49
54,0
55,49
56,0
57,0
58,0
59,0
60,0
61,31
62,8
63,40
64,23
65,65
66,35
67,0
68,0
69,0
70,6
71,0
72,0
73,0
74,0
75,0
76,0
77,58
78,0
79,0
80,28
81,43
82,70
83,0
84,26
85,67
86,57
87,0
88,0
89,53
90,0
91,8
92,21
93,0
94,0
95,51
96,0
97,0
98,0
99,0
100,5
101,0
102,73
103,40
104,0
105,52
106,0
107,0
108,0
109,0
110,25
111,0
112,52
113,0
114,41
115,0
116,0
117,47
118,65
119,27
120,3
121,42
122,0
123,9
124,0
125,0
126,0
127,0
128,0
129,0
130,12
131,0
132,12
133,69
134,0
135,33
136,70
137,0
138,0
139,0
140,73
141,0
142,0
143,0
144,8
145,0
146,0
147,0
148,0
149,0
150,15
151,42
152,70
153,44
154,0
155,0
156,9
157,72
158,10
159,0
160,0
161,0
162,0
163,0
164,58
165,0
166,49
167,41
168,0
169,0
170,58
171,9
172,9
173,0
174,47
175,0
176,11
177,70
178,25
179,61
180,0
181,34
182,8
183,0
184,7
185,0
186,66
187,0
188,66
189,0
190,45
191,1
192,0
193,0
194,0
195,0
196,0
197,0
198,14
199,10
200,0
201,31
202,22
203,0
204,0
205,43
206,68
207,48
208,0
209,32
210,33
211,0
212,10
213,0
214,12
215,2
216,60
217,74
218,31
219,23
220,67
221,28
222,8
223,4
224,64
225,45
226,1
227,63
228,52
229,0
230,74
231,62
232,62
233,30
234,10
235,4
236,3
237,15
238,5
239,6
240,17
241,0
242,73
243,15
244,10
245,0
246,43
247,15
248,9
249,16
250,66
251,0
252,70
253,0
254,0
255,1
256,0
257,60
258,0
259,0
260,0
261,0
262,73
263,0
264,0
265,59
266,14
267,0
268,61
269,5
270,0
271,32
272,35
273,0
274,0
275,0
276,0
277,68
278,31
279,33
280,31
281,9
282,60
283,70
284,0
285,38
286,67
287,0
288,28
289,38
290,0
291,47
292,0
293,0
294,0
295,66
296,28
297,0
298,0
299,0
300,29
301,34
302,0
303,48
304,0
305,0
306,0
307,0
308,16
309,36
310,0
311,0
312,0
313,64
314,0
315,72
316,0
317,1
318,42
319,55
320,32
321,0
322,42
323,47
324,44
325,11
326,0
327,0
328,48
329,74
330,29
331,5
332,0
333,54
334,35
335,62
336,46
337,44
338,0
339,0
340,53
341,0
342,0
343,0
344,54
345,39
346,51
347,45
348,0
349,0
350,15
351,0
352,0
353,0
354,41
355,0
356,54
357,0
358,0
359,0
360,40
361,48
362,64
363,8
364,62
