,0
0,10
1,45
2,0
3,0
4,4
5,29
6,0
7,4
8,59
9,0
10,1
11,0
12,60
13,47
14,61
15,34
16,56
17,0
18,56
19,44
20,72
21,0
22,0
23,0
24,0
25,0
26,0
27,66
28,0
29,24
30,0
31,0
32,0
33,69
34,60
35,54
36,0
37,8
38,17
39,29
40,23
41,0
42,0
43,0
44,13
45,0
46,0
47,0
48,69
49,53
50,0
51,0
52,0
53,0
54,0
55,66
56,27
57,0
58,28
59,0
60,0
61,0
62,0
63,72
64,0
65,0
66,0
67,0
68,10
69,57
70,0
71,74
72,0
73,0
74,0
75,0
76,0
77,0
78,63
79,0
80,50
81,33
82,0
83,54
84,0
85,17
86,30
87,7
88,0
89,44
90,0
91,70
92,0
93,61
94,0
95,0
96,0
97,0
98,0
99,34
100,71
101,30
102,0
103,2
104,5
105,0
106,0
107,0
108,0
109,0
110,72
111,0
112,22
113,46
114,71
115,0
116,67
117,0
118,62
119,0
120,0
121,0
122,14
123,59
124,73
125,41
126,0
127,71
128,45
129,0
130,69
131,33
132,0
133,48
134,69
135,67
136,0
137,52
138,0
139,0
140,0
141,28
142,57
143,32
144,42
145,0
146,0
147,70
148,0
149,0
150,55
151,0
152,11
153,0
154,0
155,0
156,32
157,25
158,43
159,31
160,0
161,0
162,47
163,0
164,0
165,73
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,49
174,36
175,0
176,73
177,45
178,38
179,49
180,37
181,44
182,48
183,0
184,0
185,47
186,16
187,51
188,0
189,18
190,46
191,0
192,37
193,0
194,0
195,1
196,74
197,26
198,0
199,25
200,40
201,67
202,51
203,3
204,0
205,0
206,0
207,8
208,0
209,17
210,0
211,32
212,31
213,0
214,9
215,2
216,6
217,8
218,1
219,0
220,7
221,20
222,48
223,4
224,47
225,32
226,17
227,14
228,2
229,69
230,44
231,6
232,54
233,4
234,3
235,4
236,5
237,15
238,9
239,1
240,1
241,26
242,18
243,71
244,16
245,23
246,8
247,28
248,72
249,9
250,42
251,40
252,73
253,45
254,46
255,28
256,0
257,0
258,9
259,13
260,67
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,42
273,0
274,0
275,0
276,0
277,0
278,57
279,0
280,0
281,49
282,0
283,0
284,0
285,2
286,0
287,0
288,25
289,0
290,0
291,66
292,57
293,0
294,3
295,12
296,0
297,0
298,0
299,0
300,72
301,74
302,0
303,0
304,22
305,0
306,0
307,0
308,0
309,0
310,0
311,73
312,25
313,0
314,0
315,8
316,0
317,0
318,0
319,4
320,0
321,0
322,61
323,35
324,0
325,11
326,18
327,0
328,54
329,0
330,0
331,0
332,14
333,70
334,0
335,0
336,0
337,5
338,30
339,0
340,0
341,58
342,50
343,0
344,55
345,72
346,70
347,72
348,0
349,1
350,0
351,0
352,9
353,0
354,0
355,0
356,0
357,12
358,28
359,66
360,0
361,0
362,0
363,0
364,0
