,0
0,49
1,0
2,7
3,52
4,41
5,59
6,70
7,0
8,10
9,8
10,40
11,53
12,1
13,0
14,37
15,0
16,15
17,5
18,63
19,4
20,36
21,0
22,53
23,2
24,30
25,71
26,42
27,46
28,21
29,40
30,14
31,0
32,16
33,33
34,0
35,12
36,33
37,27
38,34
39,31
40,10
41,65
42,2
43,43
44,21
45,72
46,29
47,0
48,9
49,53
50,0
51,71
52,13
53,4
54,52
55,33
56,24
57,0
58,40
59,37
60,41
61,10
62,21
63,73
64,43
65,69
66,37
67,0
68,38
69,0
70,62
71,2
72,63
73,73
74,59
75,0
76,0
77,0
78,0
79,15
80,24
81,34
82,8
83,32
84,16
85,73
86,0
87,0
88,29
89,0
90,59
91,35
92,24
93,13
94,15
95,37
96,0
97,7
98,45
99,64
100,4
101,62
102,48
103,52
104,0
105,17
106,0
107,4
108,60
109,0
110,16
111,60
112,12
113,12
114,0
115,55
116,58
117,0
118,58
119,40
120,18
121,0
122,43
123,5
124,27
125,59
126,27
127,57
128,0
129,9
130,68
131,9
132,15
133,12
134,7
135,47
136,45
137,37
138,66
139,30
140,66
141,45
142,57
143,44
144,33
145,0
146,49
147,6
148,68
149,37
150,53
151,24
152,51
153,17
154,0
155,70
156,33
157,17
158,28
159,35
160,15
161,64
162,62
163,0
164,16
165,48
166,38
167,14
168,58
169,6
170,32
171,15
172,1
173,53
174,69
175,73
176,54
177,42
178,42
179,36
180,51
181,0
182,52
183,8
184,50
185,0
186,0
187,64
188,51
189,22
190,18
191,14
192,71
193,16
194,14
195,39
196,5
197,64
198,53
199,41
200,16
201,21
202,0
203,70
204,49
205,38
206,72
207,29
208,50
209,32
210,54
211,4
212,33
213,45
214,44
215,5
216,6
217,69
218,67
219,15
220,26
221,47
222,68
223,16
224,26
225,3
226,12
227,69
228,0
229,65
230,68
231,61
232,74
233,7
234,0
235,51
236,40
237,73
238,56
239,35
240,19
241,3
242,49
243,24
244,0
245,54
246,31
247,52
248,0
249,2
250,58
251,0
252,51
253,33
254,39
255,26
256,3
257,74
258,1
259,67
260,23
261,52
262,45
263,74
264,49
265,25
266,29
267,49
268,42
269,66
270,54
271,51
272,0
273,0
274,53
275,0
276,0
277,37
278,15
279,0
280,42
281,11
282,0
283,39
284,29
285,0
286,38
287,61
288,6
289,0
290,41
291,10
292,0
293,22
294,62
295,9
296,66
297,46
298,54
299,61
300,5
301,56
302,0
303,27
304,61
305,27
306,55
307,9
308,2
309,0
310,21
311,22
312,48
313,4
314,62
315,32
316,0
317,73
318,65
319,69
320,59
321,25
322,45
323,72
324,10
325,49
326,7
327,53
328,47
329,46
330,27
331,54
332,50
333,61
334,47
335,0
336,0
337,3
338,21
339,46
340,67
341,0
342,12
343,61
344,58
345,5
346,17
347,53
348,0
349,28
350,51
351,16
352,39
353,35
354,0
355,46
356,22
357,47
358,55
359,17
360,74
361,52
362,47
363,0
364,55
