,0
0,63
1,22
2,35
3,0
4,0
5,0
6,54
7,0
8,4
9,0
10,39
11,0
12,12
13,45
14,35
15,0
16,0
17,19
18,0
19,43
20,0
21,54
22,66
23,25
24,25
25,0
26,0
27,30
28,59
29,16
30,0
31,64
32,18
33,0
34,73
35,48
36,66
37,27
38,0
39,38
40,50
41,27
42,8
43,32
44,59
45,0
46,26
47,6
48,0
49,58
50,0
51,41
52,0
53,15
54,18
55,45
56,0
57,12
58,0
59,16
60,41
61,0
62,0
63,0
64,53
65,38
66,62
67,50
68,0
69,10
70,0
71,43
72,50
73,30
74,43
75,68
76,0
77,2
78,18
79,13
80,27
81,0
82,19
83,0
84,10
85,24
86,11
87,59
88,6
89,12
90,73
91,0
92,4
93,0
94,0
95,30
96,48
97,63
98,0
99,48
100,0
101,10
102,37
103,46
104,0
105,38
106,1
107,57
108,0
109,0
110,52
111,39
112,52
113,0
114,38
115,52
116,48
117,58
118,7
119,63
120,56
121,0
122,0
123,32
124,0
125,0
126,68
127,24
128,61
129,0
130,0
131,63
132,35
133,64
134,60
135,8
136,64
137,57
138,18
139,22
140,18
141,64
142,43
143,0
144,41
145,0
146,14
147,0
148,0
149,44
150,67
151,1
152,50
153,0
154,0
155,0
156,16
157,74
158,54
159,13
160,24
161,21
162,68
163,27
164,0
165,70
166,65
167,42
168,3
169,52
170,29
171,41
172,11
173,28
174,27
175,61
176,0
177,0
178,39
179,16
180,26
181,17
182,39
183,0
184,58
185,1
186,46
187,0
188,51
189,0
190,0
191,0
192,17
193,49
194,61
195,27
196,73
197,34
198,8
199,0
200,0
201,0
202,74
203,72
204,47
205,25
206,0
207,20
208,71
209,61
210,73
211,22
212,45
213,44
214,48
215,16
216,56
217,14
218,25
219,6
220,27
221,51
222,71
223,62
224,8
225,69
226,70
227,0
228,72
229,54
230,5
231,16
232,34
233,65
234,28
235,6
236,72
237,36
238,30
239,54
240,52
241,5
242,29
243,69
244,44
245,0
246,53
247,27
248,31
249,59
250,32
251,15
252,0
253,14
254,69
255,0
256,74
257,16
258,6
259,0
260,74
261,12
262,20
263,47
264,73
265,0
266,45
267,25
268,67
269,70
270,0
271,40
272,9
273,42
274,61
275,0
276,54
277,49
278,23
279,0
280,55
281,28
282,32
283,29
284,64
285,0
286,0
287,5
288,67
289,62
290,0
291,32
292,66
293,73
294,54
295,6
296,32
297,0
298,41
299,55
300,0
301,55
302,0
303,28
304,20
305,26
306,0
307,64
308,70
309,58
310,73
311,32
312,0
313,25
314,64
315,30
316,0
317,3
318,33
319,73
320,20
321,0
322,0
323,38
324,13
325,36
326,45
327,57
328,32
329,65
330,42
331,0
332,56
333,0
334,42
335,0
336,35
337,0
338,0
339,0
340,6
341,60
342,27
343,37
344,0
345,0
346,25
347,65
348,26
349,46
350,0
351,51
352,24
353,13
354,16
355,70
356,70
357,70
358,0
359,3
360,41
361,13
362,0
363,37
364,62
