,0
0,55
1,0
2,49
3,0
4,0
5,67
6,3
7,0
8,0
9,51
10,0
11,70
12,65
13,0
14,20
15,0
16,1
17,65
18,31
19,0
20,23
21,26
22,60
23,0
24,0
25,0
26,56
27,67
28,27
29,46
30,31
31,0
32,7
33,0
34,62
35,61
36,3
37,12
38,4
39,0
40,59
41,0
42,19
43,71
44,31
45,0
46,0
47,15
48,68
49,35
50,48
51,0
52,0
53,16
54,0
55,59
56,0
57,47
58,0
59,30
60,0
61,0
62,0
63,16
64,0
65,0
66,20
67,27
68,62
69,0
70,59
71,17
72,73
73,0
74,74
75,57
76,7
77,56
78,0
79,0
80,69
81,0
82,51
83,0
84,0
85,0
86,29
87,41
88,70
89,0
90,0
91,5
92,0
93,1
94,46
95,67
96,16
97,0
98,48
99,0
100,5
101,0
102,14
103,35
104,8
105,19
106,0
107,28
108,19
109,63
110,43
111,26
112,66
113,0
114,0
115,36
116,74
117,0
118,0
119,26
120,54
121,9
122,0
123,3
124,58
125,49
126,0
127,7
128,12
129,0
130,0
131,61
132,0
133,0
134,18
135,64
136,53
137,13
138,26
139,48
140,45
141,72
142,68
143,29
144,11
145,48
146,48
147,64
148,27
149,71
150,70
151,0
152,52
153,3
154,29
155,32
156,22
157,1
158,0
159,45
160,64
161,0
162,0
163,19
164,23
165,34
166,0
167,12
168,71
169,0
170,42
171,65
172,53
173,0
174,10
175,0
176,71
177,18
178,55
179,15
180,0
181,41
182,0
183,0
184,23
185,12
186,53
187,7
188,47
189,19
190,0
191,19
192,6
193,28
194,33
195,47
196,55
197,30
198,48
199,0
200,0
201,12
202,0
203,0
204,4
205,0
206,68
207,8
208,0
209,17
210,12
211,50
212,44
213,11
214,3
215,4
216,29
217,32
218,13
219,41
220,5
221,27
222,63
223,4
224,57
225,24
226,32
227,71
228,21
229,3
230,17
231,5
232,60
233,69
234,64
235,31
236,56
237,7
238,21
239,0
240,32
241,30
242,7
243,0
244,33
245,69
246,0
247,52
248,20
249,67
250,0
251,0
252,3
253,35
254,33
255,47
256,25
257,0
258,10
259,0
260,0
261,1
262,0
263,0
264,37
265,0
266,36
267,70
268,0
269,50
270,0
271,0
272,0
273,55
274,58
275,1
276,3
277,69
278,0
279,56
280,32
281,0
282,0
283,44
284,21
285,38
286,45
287,12
288,0
289,45
290,52
291,0
292,9
293,0
294,50
295,0
296,0
297,27
298,44
299,1
300,54
301,11
302,19
303,66
304,31
305,0
306,71
307,0
308,70
309,0
310,59
311,0
312,74
313,31
314,47
315,30
316,37
317,0
318,0
319,0
320,73
321,68
322,24
323,17
324,52
325,36
326,0
327,48
328,63
329,47
330,10
331,0
332,0
333,21
334,4
335,8
336,0
337,37
338,49
339,51
340,64
341,24
342,0
343,30
344,0
345,73
346,0
347,26
348,62
349,0
350,0
351,37
352,0
353,0
354,0
355,0
356,43
357,14
358,0
359,25
360,0
361,0
362,13
363,55
364,39
