,0
0,67
1,0
2,0
3,66
4,37
5,66
6,17
7,48
8,5
9,64
10,0
11,55
12,21
13,43
14,45
15,68
16,0
17,0
18,53
19,72
20,9
21,41
22,17
23,59
24,48
25,68
26,55
27,73
28,0
29,8
30,3
31,54
32,0
33,65
34,13
35,31
36,60
37,58
38,0
39,0
40,74
41,0
42,0
43,51
44,48
45,0
46,10
47,0
48,0
49,18
50,0
51,0
52,1
53,12
54,64
55,34
56,41
57,54
58,28
59,0
60,14
61,0
62,30
63,59
64,19
65,9
66,0
67,10
68,52
69,63
70,60
71,43
72,12
73,23
74,30
75,53
76,8
77,17
78,5
79,0
80,2
81,0
82,45
83,8
84,0
85,11
86,0
87,0
88,46
89,5
90,0
91,2
92,2
93,0
94,30
95,32
96,0
97,0
98,67
99,73
100,67
101,68
102,45
103,48
104,27
105,43
106,59
107,59
108,0
109,36
110,0
111,27
112,36
113,67
114,0
115,63
116,33
117,0
118,0
119,0
120,0
121,67
122,32
123,38
124,12
125,1
126,27
127,50
128,44
129,42
130,50
131,32
132,62
133,63
134,16
135,0
136,50
137,53
138,5
139,26
140,72
141,71
142,31
143,11
144,52
145,55
146,39
147,7
148,33
149,16
150,0
151,44
152,0
153,0
154,13
155,73
156,74
157,10
158,50
159,15
160,0
161,20
162,53
163,0
164,48
165,0
166,65
167,0
168,38
169,66
170,5
171,22
172,60
173,9
174,64
175,0
176,0
177,33
178,8
179,18
180,37
181,43
182,0
183,0
184,49
185,25
186,3
187,17
188,52
189,8
190,61
191,8
192,55
193,74
194,13
195,18
196,51
197,65
198,70
199,66
200,69
201,7
202,1
203,27
204,41
205,0
206,0
207,23
208,68
209,3
210,3
211,58
212,69
213,58
214,29
215,10
216,64
217,43
218,12
219,17
220,65
221,29
222,29
223,39
224,33
225,27
226,45
227,37
228,24
229,56
230,56
231,30
232,61
233,49
234,68
235,58
236,51
237,31
238,12
239,18
240,15
241,31
242,23
243,34
244,33
245,39
246,34
247,0
248,41
249,3
250,13
251,69
252,3
253,0
254,0
255,3
256,2
257,33
258,73
259,68
260,62
261,5
262,24
263,73
264,10
265,49
266,70
267,23
268,44
269,62
270,58
271,36
272,20
273,27
274,50
275,52
276,49
277,73
278,8
279,37
280,26
281,0
282,8
283,4
284,3
285,24
286,33
287,41
288,23
289,0
290,15
291,24
292,11
293,0
294,0
295,4
296,0
297,0
298,59
299,14
300,20
301,69
302,49
303,70
304,49
305,6
306,60
307,42
308,51
309,14
310,0
311,19
312,62
313,20
314,2
315,0
316,70
317,5
318,73
319,61
320,11
321,4
322,64
323,42
324,8
325,0
326,0
327,0
328,51
329,32
330,40
331,7
332,61
333,38
334,35
335,0
336,4
337,73
338,47
339,50
340,71
341,71
342,28
343,13
344,26
345,0
346,61
347,23
348,0
349,46
350,26
351,16
352,15
353,26
354,43
355,0
356,6
357,0
358,0
359,34
360,67
361,42
362,67
363,15
364,12
