,0
0,49
1,1
2,8
3,49
4,64
5,44
6,0
7,1
8,0
9,0
10,42
11,0
12,43
13,0
14,0
15,50
16,1
17,6
18,59
19,63
20,0
21,45
22,64
23,8
24,33
25,0
26,21
27,52
28,10
29,12
30,44
31,41
32,67
33,0
34,0
35,38
36,20
37,73
38,74
39,70
40,28
41,5
42,22
43,0
44,31
45,0
46,54
47,45
48,27
49,72
50,0
51,52
52,0
53,0
54,58
55,0
56,0
57,60
58,39
59,17
60,22
61,0
62,36
63,70
64,24
65,0
66,0
67,0
68,0
69,0
70,47
71,0
72,44
73,0
74,39
75,0
76,64
77,0
78,67
79,45
80,10
81,0
82,8
83,0
84,60
85,20
86,0
87,18
88,42
89,36
90,0
91,0
92,49
93,28
94,0
95,28
96,11
97,63
98,7
99,0
100,53
101,0
102,22
103,35
104,0
105,57
106,0
107,0
108,0
109,2
110,20
111,57
112,13
113,58
114,0
115,21
116,0
117,0
118,54
119,0
120,64
121,65
122,37
123,9
124,61
125,74
126,37
127,74
128,51
129,56
130,39
131,0
132,46
133,72
134,1
135,61
136,0
137,0
138,57
139,67
140,63
141,0
142,0
143,69
144,18
145,54
146,70
147,0
148,0
149,0
150,19
151,69
152,0
153,52
154,0
155,0
156,0
157,0
158,62
159,0
160,49
161,38
162,41
163,0
164,0
165,65
166,67
167,52
168,66
169,48
170,65
171,43
172,71
173,0
174,7
175,11
176,40
177,0
178,15
179,57
180,0
181,0
182,60
183,22
184,30
185,5
186,38
187,47
188,28
189,74
190,0
191,0
192,27
193,73
194,30
195,29
196,50
197,37
198,48
199,26
200,0
201,1
202,0
203,46
204,17
205,0
206,23
207,13
208,35
209,32
210,6
211,33
212,10
213,64
214,59
215,54
216,12
217,10
218,4
219,48
220,11
221,25
222,8
223,39
224,60
225,30
226,59
227,49
228,48
229,15
230,63
231,14
232,17
233,61
234,13
235,17
236,33
237,46
238,6
239,8
240,37
241,62
242,30
243,26
244,57
245,10
246,31
247,24
248,0
249,0
250,14
251,2
252,73
253,44
254,48
255,0
256,0
257,0
258,10
259,16
260,0
261,0
262,33
263,56
264,53
265,32
266,58
267,0
268,7
269,0
270,0
271,1
272,0
273,68
274,11
275,5
276,0
277,45
278,0
279,0
280,29
281,57
282,46
283,21
284,1
285,71
286,0
287,13
288,30
289,73
290,0
291,0
292,20
293,26
294,0
295,41
296,39
297,0
298,0
299,43
300,55
301,0
302,5
303,69
304,0
305,62
306,0
307,35
308,33
309,60
310,0
311,0
312,0
313,53
314,23
315,0
316,0
317,60
318,74
319,11
320,50
321,17
322,17
323,0
324,0
325,47
326,70
327,0
328,0
329,15
330,0
331,40
332,22
333,61
334,62
335,8
336,0
337,11
338,38
339,57
340,0
341,10
342,53
343,66
344,47
345,29
346,14
347,38
348,41
349,72
350,44
351,72
352,0
353,0
354,70
355,32
356,67
357,14
358,35
359,59
360,0
361,40
362,13
363,14
364,47
