,0
0,10
1,39
2,51
3,41
4,42
5,3
6,40
7,0
8,4
9,22
10,39
11,27
12,18
13,30
14,6
15,4
16,61
17,19
18,21
19,0
20,60
21,17
22,0
23,22
24,43
25,10
26,35
27,56
28,52
29,58
30,62
31,4
32,0
33,63
34,38
35,50
36,22
37,45
38,69
39,0
40,74
41,0
42,72
43,43
44,41
45,0
46,19
47,0
48,58
49,44
50,0
51,24
52,71
53,44
54,58
55,27
56,57
57,13
58,37
59,44
60,5
61,44
62,37
63,35
64,0
65,37
66,58
67,24
68,50
69,11
70,29
71,54
72,50
73,22
74,51
75,36
76,30
77,69
78,41
79,27
80,21
81,3
82,37
83,13
84,16
85,44
86,60
87,72
88,39
89,4
90,60
91,16
92,13
93,0
94,0
95,35
96,5
97,2
98,0
99,16
100,8
101,0
102,39
103,30
104,47
105,21
106,23
107,17
108,34
109,32
110,49
111,22
112,65
113,0
114,62
115,52
116,18
117,0
118,13
119,1
120,66
121,46
122,63
123,57
124,29
125,0
126,70
127,9
128,65
129,35
130,48
131,9
132,56
133,24
134,44
135,73
136,52
137,43
138,0
139,7
140,0
141,59
142,8
143,6
144,23
145,67
146,10
147,32
148,72
149,37
150,23
151,0
152,23
153,56
154,34
155,56
156,38
157,46
158,72
159,51
160,9
161,29
162,10
163,40
164,40
165,0
166,48
167,52
168,53
169,29
170,3
171,63
172,0
173,36
174,2
175,0
176,3
177,37
178,0
179,55
180,55
181,56
182,14
183,14
184,0
185,68
186,27
187,15
188,49
189,16
190,31
191,69
192,21
193,68
194,0
195,47
196,16
197,59
198,35
199,8
200,48
201,62
202,59
203,23
204,46
205,13
206,31
207,17
208,41
209,32
210,22
211,21
212,38
213,74
214,18
215,53
216,53
217,56
218,72
219,13
220,5
221,61
222,41
223,71
224,16
225,30
226,7
227,53
228,65
229,14
230,10
231,40
232,74
233,5
234,55
235,15
236,9
237,65
238,33
239,40
240,3
241,52
242,5
243,64
244,9
245,13
246,22
247,23
248,31
249,31
250,52
251,64
252,32
253,42
254,73
255,15
256,30
257,58
258,40
259,59
260,72
261,6
262,0
263,34
264,62
265,36
266,0
267,63
268,11
269,50
270,0
271,23
272,43
273,30
274,3
275,8
276,12
277,10
278,51
279,71
280,24
281,26
282,59
283,43
284,29
285,44
286,0
287,20
288,20
289,64
290,38
291,21
292,36
293,7
294,7
295,48
296,31
297,8
298,38
299,44
300,35
301,0
302,14
303,15
304,15
305,0
306,0
307,12
308,0
309,45
310,15
311,36
312,45
313,26
314,20
315,48
316,7
317,8
318,48
319,73
320,39
321,8
322,46
323,24
324,9
325,73
326,22
327,0
328,50
329,52
330,29
331,14
332,65
333,60
334,4
335,72
336,39
337,23
338,27
339,47
340,33
341,51
342,64
343,0
344,61
345,1
346,0
347,51
348,7
349,42
350,30
351,71
352,37
353,26
354,0
355,62
356,30
357,8
358,0
359,15
360,62
361,45
362,20
363,58
364,11
