,0
0,17
1,46
2,6
3,0
4,21
5,53
6,0
7,49
8,33
9,0
10,15
11,29
12,52
13,41
14,74
15,46
16,5
17,46
18,0
19,65
20,27
21,28
22,0
23,22
24,0
25,73
26,0
27,58
28,57
29,38
30,0
31,69
32,71
33,33
34,70
35,72
36,66
37,25
38,41
39,0
40,18
41,34
42,48
43,31
44,35
45,73
46,4
47,0
48,0
49,12
50,9
51,23
52,29
53,0
54,0
55,74
56,0
57,19
58,20
59,53
60,22
61,47
62,48
63,0
64,55
65,63
66,73
67,7
68,11
69,62
70,43
71,12
72,63
73,0
74,66
75,74
76,57
77,0
78,1
79,63
80,61
81,6
82,2
83,0
84,21
85,67
86,0
87,32
88,2
89,23
90,47
91,0
92,71
93,52
94,6
95,14
96,0
97,70
98,13
99,31
100,33
101,58
102,7
103,40
104,34
105,32
106,70
107,72
108,59
109,62
110,24
111,0
112,12
113,14
114,67
115,0
116,16
117,69
118,30
119,70
120,50
121,0
122,21
123,53
124,13
125,59
126,0
127,0
128,25
129,0
130,46
131,46
132,58
133,1
134,21
135,0
136,0
137,25
138,62
139,44
140,35
141,38
142,1
143,71
144,62
145,3
146,27
147,9
148,51
149,13
150,4
151,55
152,39
153,70
154,67
155,15
156,40
157,39
158,7
159,48
160,56
161,16
162,15
163,20
164,36
165,33
166,21
167,72
168,27
169,34
170,33
171,0
172,19
173,9
174,42
175,14
176,62
177,66
178,45
179,0
180,0
181,67
182,26
183,0
184,0
185,68
186,15
187,53
188,72
189,0
190,62
191,42
192,44
193,38
194,51
195,0
196,32
197,61
198,52
199,6
200,49
201,25
202,38
203,28
204,10
205,15
206,0
207,29
208,6
209,36
210,0
211,35
212,38
213,0
214,69
215,12
216,30
217,29
218,20
219,67
220,29
221,56
222,25
223,59
224,69
225,32
226,39
227,52
228,50
229,18
230,53
231,13
232,10
233,57
234,66
235,1
236,8
237,58
238,10
239,24
240,59
241,19
242,18
243,2
244,22
245,11
246,15
247,69
248,7
249,26
250,8
251,22
252,0
253,20
254,23
255,74
256,33
257,34
258,61
259,0
260,60
261,35
262,64
263,0
264,69
265,25
266,23
267,18
268,47
269,31
270,34
271,0
272,51
273,39
274,43
275,74
276,67
277,0
278,8
279,68
280,56
281,12
282,56
283,57
284,19
285,65
286,0
287,43
288,44
289,24
290,39
291,44
292,0
293,0
294,67
295,12
296,55
297,15
298,45
299,65
300,59
301,0
302,70
303,57
304,1
305,0
306,34
307,0
308,0
309,39
310,41
311,22
312,55
313,0
314,48
315,69
316,0
317,0
318,0
319,35
320,33
321,55
322,38
323,10
324,52
325,30
326,66
327,42
328,45
329,35
330,2
331,46
332,39
333,48
334,35
335,41
336,8
337,49
338,50
339,6
340,23
341,6
342,43
343,55
344,10
345,14
346,36
347,12
348,0
349,32
350,0
351,32
352,74
353,38
354,0
355,1
356,56
357,0
358,59
359,55
360,0
361,72
362,21
363,71
364,27
