,0
0,15
1,59
2,54
3,26
4,0
5,50
6,42
7,25
8,47
9,46
10,6
11,27
12,29
13,65
14,34
15,0
16,0
17,0
18,43
19,35
20,58
21,51
22,70
23,0
24,56
25,44
26,46
27,35
28,31
29,23
30,15
31,52
32,0
33,16
34,49
35,35
36,59
37,0
38,6
39,45
40,67
41,0
42,64
43,56
44,0
45,42
46,7
47,35
48,58
49,41
50,8
51,25
52,54
53,15
54,15
55,10
56,46
57,40
58,63
59,23
60,39
61,9
62,35
63,69
64,48
65,0
66,65
67,25
68,18
69,37
70,16
71,0
72,34
73,57
74,52
75,6
76,48
77,20
78,58
79,64
80,36
81,6
82,0
83,0
84,13
85,10
86,44
87,0
88,33
89,32
90,0
91,0
92,6
93,51
94,2
95,18
96,0
97,72
98,9
99,31
100,25
101,49
102,9
103,0
104,6
105,0
106,43
107,0
108,0
109,18
110,44
111,20
112,0
113,58
114,26
115,72
116,45
117,48
118,0
119,5
120,74
121,60
122,41
123,45
124,11
125,34
126,68
127,0
128,0
129,23
130,59
131,41
132,29
133,0
134,35
135,41
136,12
137,13
138,45
139,0
140,1
141,72
142,60
143,0
144,59
145,0
146,3
147,31
148,39
149,0
150,0
151,60
152,22
153,51
154,54
155,22
156,30
157,0
158,57
159,5
160,19
161,55
162,0
163,52
164,27
165,50
166,0
167,0
168,18
169,58
170,44
171,0
172,16
173,74
174,55
175,10
176,9
177,63
178,0
179,49
180,62
181,38
182,38
183,22
184,0
185,70
186,0
187,0
188,45
189,46
190,12
191,7
192,0
193,0
194,17
195,0
196,65
197,17
198,17
199,63
200,44
201,36
202,8
203,13
204,23
205,0
206,60
207,31
208,34
209,51
210,20
211,0
212,70
213,62
214,1
215,16
216,72
217,8
218,0
219,56
220,21
221,16
222,74
223,10
224,21
225,27
226,45
227,24
228,47
229,70
230,53
231,9
232,59
233,0
234,9
235,44
236,66
237,0
238,0
239,3
240,64
241,0
242,70
243,2
244,8
245,27
246,18
247,25
248,15
249,20
250,32
251,30
252,4
253,61
254,56
255,21
256,0
257,29
258,2
259,19
260,38
261,14
262,0
263,55
264,29
265,0
266,20
267,0
268,0
269,0
270,33
271,62
272,0
273,30
274,54
275,4
276,52
277,25
278,28
279,0
280,46
281,36
282,62
283,33
284,0
285,0
286,0
287,20
288,53
289,27
290,35
291,29
292,0
293,26
294,6
295,0
296,49
297,3
298,9
299,11
300,5
301,25
302,27
303,52
304,62
305,56
306,0
307,15
308,0
309,27
310,31
311,0
312,0
313,33
314,25
315,0
316,66
317,63
318,7
319,18
320,0
321,37
322,1
323,35
324,51
325,62
326,0
327,32
328,68
329,23
330,36
331,0
332,0
333,0
334,8
335,36
336,49
337,0
338,51
339,69
340,55
341,44
342,0
343,18
344,67
345,46
346,50
347,7
348,0
349,54
350,0
351,0
352,0
353,57
354,31
355,0
356,26
357,0
358,27
359,27
360,0
361,27
362,14
363,3
364,2
