,0
0,3
1,0
2,0
3,0
4,0
5,0
6,41
7,17
8,0
9,0
10,0
11,62
12,0
13,68
14,43
15,8
16,63
17,2
18,0
19,17
20,4
21,0
22,31
23,0
24,0
25,49
26,22
27,0
28,0
29,53
30,0
31,0
32,0
33,23
34,0
35,0
36,16
37,0
38,74
39,0
40,49
41,53
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,47
50,0
51,15
52,45
53,0
54,0
55,19
56,63
57,0
58,0
59,21
60,0
61,7
62,0
63,0
64,0
65,49
66,68
67,56
68,0
69,1
70,5
71,64
72,0
73,22
74,53
75,19
76,62
77,0
78,46
79,0
80,37
81,42
82,4
83,26
84,0
85,34
86,0
87,0
88,0
89,0
90,65
91,0
92,12
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,69
101,0
102,71
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,2
112,72
113,28
114,0
115,71
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,43
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,47
136,5
137,0
138,68
139,0
140,0
141,0
142,69
143,0
144,0
145,0
146,0
147,9
148,48
149,0
150,35
151,0
152,44
153,0
154,50
155,0
156,0
157,0
158,0
159,68
160,20
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,41
172,19
173,0
174,55
175,10
176,65
177,0
178,26
179,16
180,63
181,0
182,17
183,0
184,1
185,0
186,59
187,0
188,27
189,0
190,0
191,12
192,0
193,0
194,0
195,25
196,0
197,0
198,62
199,51
200,0
201,67
202,55
203,34
204,27
205,0
206,0
207,6
208,0
209,8
210,54
211,52
212,9
213,0
214,0
215,1
216,31
217,16
218,42
219,25
220,18
221,31
222,21
223,30
224,10
225,74
226,33
227,73
228,14
229,49
230,12
231,27
232,17
233,2
234,24
235,62
236,28
237,33
238,49
239,65
240,31
241,31
242,48
243,21
244,0
245,0
246,0
247,61
248,60
249,72
250,23
251,5
252,0
253,9
254,58
255,16
256,0
257,10
258,0
259,27
260,60
261,55
262,0
263,17
264,2
265,0
266,0
267,35
268,0
269,0
270,48
271,20
272,0
273,0
274,0
275,0
276,59
277,61
278,7
279,59
280,0
281,52
282,0
283,0
284,0
285,0
286,46
287,0
288,20
289,0
290,0
291,0
292,0
293,0
294,0
295,14
296,6
297,35
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,53
307,32
308,15
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,18
324,0
325,0
326,0
327,28
328,0
329,0
330,34
331,0
332,0
333,35
334,41
335,56
336,55
337,0
338,21
339,0
340,0
341,0
342,0
343,58
344,27
345,0
346,0
347,0
348,66
349,18
350,29
351,0
352,0
353,0
354,31
355,0
356,0
357,15
358,49
359,69
360,0
361,0
362,53
363,0
364,8
