,0
0,31
1,35
2,46
3,10
4,42
5,10
6,74
7,65
8,0
9,50
10,47
11,0
12,42
13,49
14,33
15,35
16,28
17,6
18,0
19,74
20,62
21,29
22,0
23,33
24,0
25,0
26,49
27,9
28,47
29,25
30,16
31,0
32,0
33,59
34,0
35,63
36,4
37,9
38,0
39,17
40,73
41,12
42,14
43,43
44,62
45,10
46,23
47,37
48,0
49,70
50,0
51,4
52,0
53,36
54,59
55,54
56,17
57,50
58,0
59,60
60,67
61,13
62,0
63,6
64,22
65,0
66,0
67,56
68,0
69,48
70,0
71,3
72,49
73,0
74,0
75,0
76,0
77,0
78,8
79,53
80,50
81,25
82,58
83,0
84,48
85,49
86,0
87,0
88,0
89,0
90,50
91,4
92,0
93,21
94,0
95,1
96,0
97,27
98,0
99,67
100,22
101,69
102,46
103,0
104,3
105,0
106,0
107,11
108,72
109,50
110,27
111,0
112,0
113,61
114,0
115,0
116,0
117,66
118,26
119,0
120,0
121,37
122,43
123,43
124,41
125,50
126,22
127,64
128,17
129,13
130,0
131,0
132,0
133,0
134,0
135,40
136,0
137,0
138,73
139,35
140,23
141,0
142,0
143,71
144,52
145,21
146,0
147,19
148,0
149,59
150,7
151,13
152,40
153,15
154,0
155,46
156,16
157,0
158,0
159,35
160,27
161,61
162,62
163,49
164,25
165,42
166,72
167,0
168,40
169,49
170,0
171,29
172,13
173,10
174,48
175,0
176,66
177,0
178,66
179,67
180,35
181,59
182,39
183,0
184,45
185,35
186,45
187,56
188,25
189,0
190,33
191,57
192,0
193,50
194,70
195,49
196,4
197,0
198,0
199,0
200,0
201,24
202,0
203,0
204,0
205,3
206,18
207,1
208,44
209,65
210,73
211,60
212,31
213,63
214,25
215,30
216,44
217,8
218,25
219,44
220,65
221,72
222,54
223,45
224,70
225,49
226,24
227,15
228,42
229,13
230,9
231,62
232,21
233,0
234,52
235,19
236,23
237,4
238,28
239,8
240,10
241,26
242,68
243,9
244,17
245,20
246,4
247,72
248,17
249,12
250,7
251,13
252,17
253,0
254,47
255,56
256,8
257,14
258,30
259,30
260,28
261,31
262,65
263,59
264,0
265,0
266,0
267,37
268,0
269,18
270,43
271,0
272,18
273,10
274,0
275,0
276,19
277,19
278,57
279,10
280,53
281,65
282,0
283,0
284,5
285,21
286,0
287,45
288,20
289,0
290,70
291,69
292,0
293,4
294,37
295,39
296,34
297,5
298,11
299,0
300,0
301,0
302,12
303,32
304,0
305,39
306,0
307,0
308,20
309,9
310,0
311,35
312,4
313,0
314,0
315,12
316,59
317,0
318,21
319,18
320,62
321,53
322,50
323,50
324,53
325,25
326,9
327,16
328,0
329,35
330,0
331,0
332,16
333,45
334,13
335,36
336,14
337,45
338,0
339,26
340,23
341,66
342,66
343,42
344,8
345,0
346,61
347,0
348,12
349,0
350,0
351,74
352,0
353,0
354,7
355,33
356,8
357,0
358,64
359,2
360,0
361,32
362,0
363,3
364,0
