,0
0,30
1,0
2,74
3,10
4,30
5,61
6,0
7,0
8,0
9,40
10,0
11,70
12,0
13,30
14,0
15,15
16,60
17,71
18,0
19,5
20,17
21,0
22,0
23,41
24,0
25,48
26,0
27,53
28,0
29,67
30,46
31,66
32,0
33,68
34,36
35,20
36,0
37,10
38,0
39,3
40,0
41,0
42,45
43,25
44,0
45,0
46,51
47,21
48,1
49,10
50,63
51,16
52,0
53,72
54,38
55,20
56,0
57,45
58,72
59,59
60,38
61,0
62,69
63,3
64,0
65,69
66,66
67,43
68,0
69,0
70,47
71,0
72,3
73,0
74,27
75,31
76,11
77,66
78,0
79,66
80,0
81,56
82,16
83,34
84,0
85,32
86,0
87,0
88,29
89,38
90,0
91,0
92,5
93,0
94,65
95,37
96,69
97,17
98,3
99,5
100,0
101,35
102,57
103,16
104,0
105,72
106,32
107,33
108,36
109,59
110,0
111,0
112,0
113,0
114,0
115,2
116,0
117,65
118,17
119,68
120,74
121,0
122,33
123,0
124,22
125,0
126,13
127,23
128,0
129,0
130,0
131,55
132,13
133,36
134,12
135,0
136,74
137,0
138,0
139,37
140,37
141,65
142,70
143,0
144,33
145,0
146,0
147,70
148,48
149,0
150,60
151,0
152,11
153,41
154,33
155,48
156,0
157,8
158,0
159,0
160,26
161,57
162,53
163,12
164,26
165,0
166,2
167,0
168,45
169,37
170,0
171,0
172,20
173,0
174,0
175,0
176,0
177,57
178,0
179,1
180,29
181,32
182,0
183,23
184,0
185,55
186,18
187,22
188,2
189,46
190,0
191,2
192,0
193,69
194,19
195,18
196,55
197,0
198,69
199,12
200,54
201,0
202,64
203,0
204,18
205,59
206,50
207,51
208,14
209,0
210,0
211,26
212,47
213,36
214,34
215,28
216,55
217,6
218,0
219,47
220,64
221,1
222,68
223,30
224,15
225,17
226,21
227,71
228,27
229,34
230,26
231,12
232,31
233,19
234,3
235,66
236,33
237,44
238,0
239,38
240,71
241,66
242,26
243,16
244,39
245,6
246,35
247,3
248,46
249,0
250,37
251,2
252,37
253,0
254,14
255,34
256,50
257,50
258,25
259,0
260,68
261,25
262,10
263,0
264,0
265,25
266,71
267,40
268,0
269,44
270,24
271,42
272,41
273,0
274,0
275,6
276,0
277,1
278,0
279,12
280,4
281,0
282,0
283,5
284,0
285,0
286,0
287,0
288,59
289,0
290,48
291,1
292,27
293,0
294,32
295,28
296,52
297,34
298,0
299,73
300,31
301,11
302,43
303,0
304,66
305,0
306,0
307,0
308,0
309,0
310,3
311,5
312,41
313,33
314,0
315,32
316,43
317,0
318,73
319,54
320,0
321,42
322,2
323,0
324,37
325,39
326,50
327,47
328,43
329,59
330,2
331,27
332,0
333,0
334,0
335,28
336,48
337,23
338,10
339,71
340,0
341,0
342,44
343,0
344,69
345,19
346,18
347,27
348,0
349,28
350,74
351,50
352,49
353,6
354,0
355,73
356,74
357,48
358,35
359,66
360,12
361,0
362,9
363,71
364,29
