,0
0,32
1,42
2,70
3,0
4,36
5,63
6,48
7,17
8,30
9,57
10,14
11,22
12,22
13,48
14,35
15,67
16,35
17,9
18,74
19,0
20,63
21,22
22,41
23,52
24,73
25,56
26,25
27,40
28,59
29,38
30,39
31,0
32,23
33,16
34,17
35,62
36,65
37,54
38,20
39,57
40,60
41,15
42,52
43,20
44,8
45,0
46,8
47,45
48,18
49,32
50,8
51,60
52,43
53,20
54,60
55,56
56,21
57,74
58,38
59,36
60,36
61,60
62,74
63,56
64,36
65,67
66,16
67,27
68,68
69,24
70,12
71,26
72,54
73,2
74,41
75,0
76,68
77,62
78,7
79,14
80,55
81,66
82,35
83,13
84,57
85,25
86,0
87,67
88,68
89,29
90,23
91,43
92,30
93,73
94,35
95,66
96,45
97,73
98,34
99,35
100,72
101,24
102,25
103,1
104,63
105,32
106,37
107,12
108,32
109,29
110,69
111,24
112,8
113,28
114,57
115,34
116,38
117,52
118,4
119,60
120,12
121,48
122,27
123,19
124,35
125,69
126,34
127,20
128,26
129,64
130,25
131,65
132,24
133,30
134,33
135,14
136,71
137,13
138,67
139,58
140,61
141,1
142,28
143,10
144,25
145,10
146,28
147,64
148,8
149,68
150,17
151,42
152,27
153,4
154,69
155,55
156,31
157,0
158,20
159,40
160,53
161,46
162,8
163,42
164,39
165,62
166,48
167,8
168,0
169,32
170,23
171,39
172,48
173,0
174,0
175,30
176,12
177,66
178,49
179,30
180,13
181,52
182,10
183,74
184,68
185,20
186,17
187,50
188,0
189,23
190,62
191,45
192,34
193,46
194,59
195,65
196,71
197,11
198,15
199,73
200,38
201,54
202,54
203,16
204,72
205,7
206,21
207,33
208,69
209,41
210,11
211,9
212,8
213,8
214,53
215,16
216,24
217,42
218,73
219,38
220,13
221,39
222,48
223,37
224,33
225,30
226,51
227,7
228,64
229,60
230,53
231,74
232,31
233,23
234,34
235,72
236,3
237,57
238,30
239,51
240,57
241,53
242,1
243,11
244,55
245,38
246,70
247,41
248,33
249,0
250,5
251,18
252,51
253,28
254,35
255,65
256,15
257,23
258,57
259,45
260,9
261,18
262,27
263,69
264,68
265,50
266,0
267,17
268,72
269,69
270,33
271,72
272,14
273,46
274,64
275,13
276,48
277,66
278,30
279,54
280,55
281,39
282,26
283,16
284,37
285,14
286,56
287,6
288,54
289,46
290,29
291,47
292,61
293,25
294,28
295,19
296,26
297,41
298,35
299,17
300,4
301,37
302,66
303,45
304,73
305,0
306,61
307,52
308,41
309,37
310,26
311,50
312,65
313,50
314,4
315,4
316,62
317,67
318,43
319,48
320,53
321,13
322,33
323,23
324,68
325,1
326,72
327,60
328,4
329,6
330,20
331,8
332,8
333,53
334,66
335,25
336,64
337,15
338,4
339,13
340,23
341,43
342,62
343,58
344,72
345,25
346,37
347,46
348,26
349,22
350,32
351,9
352,14
353,73
354,60
355,49
356,12
357,54
358,35
359,17
360,0
361,25
362,57
363,31
364,7
