,0
0,0
1,69
2,0
3,43
4,40
5,73
6,0
7,33
8,60
9,0
10,70
11,66
12,54
13,30
14,48
15,3
16,25
17,23
18,28
19,3
20,0
21,49
22,38
23,65
24,51
25,69
26,30
27,13
28,46
29,5
30,45
31,45
32,27
33,15
34,9
35,43
36,70
37,30
38,38
39,33
40,54
41,37
42,56
43,5
44,0
45,15
46,9
47,21
48,30
49,57
50,2
51,0
52,63
53,3
54,9
55,5
56,4
57,35
58,36
59,30
60,1
61,15
62,56
63,0
64,35
65,69
66,32
67,38
68,71
69,42
70,74
71,18
72,1
73,2
74,0
75,4
76,0
77,0
78,0
79,5
80,10
81,0
82,14
83,0
84,70
85,59
86,57
87,0
88,52
89,0
90,26
91,0
92,73
93,0
94,71
95,9
96,37
97,0
98,73
99,43
100,47
101,51
102,0
103,68
104,0
105,37
106,22
107,30
108,28
109,50
110,8
111,16
112,59
113,37
114,0
115,0
116,73
117,33
118,9
119,26
120,36
121,39
122,55
123,19
124,71
125,48
126,25
127,46
128,0
129,64
130,15
131,69
132,0
133,0
134,42
135,40
136,0
137,0
138,72
139,70
140,35
141,15
142,20
143,26
144,0
145,5
146,38
147,0
148,54
149,67
150,7
151,23
152,72
153,40
154,58
155,7
156,63
157,69
158,49
159,0
160,0
161,0
162,58
163,46
164,47
165,0
166,49
167,52
168,49
169,47
170,44
171,0
172,30
173,4
174,49
175,45
176,5
177,72
178,73
179,15
180,61
181,0
182,19
183,0
184,13
185,9
186,65
187,30
188,39
189,25
190,67
191,0
192,36
193,0
194,32
195,0
196,65
197,16
198,0
199,27
200,3
201,49
202,31
203,71
204,7
205,0
206,43
207,70
208,15
209,0
210,56
211,56
212,11
213,27
214,30
215,50
216,18
217,13
218,45
219,64
220,72
221,14
222,40
223,37
224,47
225,40
226,1
227,1
228,36
229,57
230,0
231,13
232,26
233,9
234,56
235,52
236,45
237,0
238,68
239,0
240,48
241,17
242,17
243,16
244,23
245,57
246,26
247,46
248,64
249,6
250,0
251,0
252,66
253,12
254,1
255,68
256,6
257,4
258,2
259,54
260,26
261,32
262,33
263,6
264,0
265,36
266,0
267,2
268,7
269,23
270,46
271,41
272,39
273,9
274,41
275,17
276,34
277,37
278,42
279,0
280,0
281,7
282,0
283,60
284,0
285,1
286,19
287,0
288,61
289,47
290,12
291,72
292,67
293,0
294,69
295,18
296,0
297,66
298,0
299,0
300,57
301,61
302,43
303,40
304,59
305,54
306,64
307,41
308,0
309,51
310,45
311,35
312,67
313,65
314,4
315,59
316,60
317,63
318,18
319,57
320,67
321,0
322,54
323,46
324,4
325,46
326,0
327,5
328,61
329,9
330,6
331,13
332,38
333,32
334,3
335,29
336,57
337,3
338,0
339,63
340,16
341,37
342,41
343,0
344,56
345,14
346,55
347,15
348,39
349,12
350,71
351,0
352,0
353,0
354,54
355,30
356,39
357,0
358,0
359,3
360,61
361,0
362,19
363,51
364,55
