,0
0,74
1,30
2,66
3,73
4,41
5,27
6,0
7,3
8,0
9,53
10,19
11,0
12,0
13,0
14,49
15,0
16,0
17,38
18,0
19,0
20,17
21,0
22,0
23,72
24,21
25,7
26,70
27,0
28,49
29,7
30,38
31,17
32,0
33,0
34,61
35,57
36,0
37,0
38,34
39,0
40,37
41,57
42,0
43,0
44,0
45,0
46,3
47,0
48,0
49,0
50,71
51,0
52,0
53,0
54,0
55,24
56,53
57,30
58,23
59,2
60,47
61,14
62,0
63,25
64,45
65,41
66,0
67,0
68,18
69,0
70,0
71,31
72,0
73,0
74,73
75,0
76,0
77,0
78,64
79,0
80,1
81,0
82,59
83,0
84,0
85,0
86,4
87,43
88,13
89,52
90,12
91,38
92,0
93,4
94,11
95,0
96,0
97,0
98,72
99,71
100,0
101,0
102,10
103,63
104,66
105,0
106,0
107,24
108,0
109,32
110,0
111,0
112,62
113,19
114,11
115,0
116,31
117,5
118,0
119,0
120,66
121,0
122,0
123,0
124,10
125,69
126,31
127,0
128,0
129,0
130,0
131,0
132,15
133,55
134,0
135,0
136,0
137,0
138,43
139,0
140,27
141,0
142,0
143,20
144,46
145,23
146,0
147,0
148,72
149,71
150,70
151,0
152,0
153,0
154,23
155,56
156,0
157,26
158,61
159,0
160,9
161,34
162,0
163,46
164,3
165,15
166,0
167,0
168,72
169,68
170,0
171,38
172,28
173,18
174,40
175,0
176,0
177,40
178,4
179,0
180,0
181,19
182,68
183,0
184,0
185,0
186,32
187,2
188,41
189,0
190,71
191,0
192,58
193,49
194,0
195,59
196,0
197,0
198,33
199,18
200,32
201,5
202,24
203,9
204,12
205,27
206,36
207,0
208,0
209,17
210,39
211,0
212,0
213,10
214,6
215,4
216,14
217,0
218,8
219,48
220,28
221,11
222,64
223,9
224,10
225,46
226,35
227,9
228,21
229,20
230,6
231,36
232,34
233,70
234,11
235,7
236,63
237,20
238,4
239,0
240,21
241,18
242,13
243,73
244,32
245,3
246,8
247,44
248,0
249,63
250,72
251,42
252,0
253,4
254,0
255,0
256,0
257,14
258,0
259,61
260,25
261,0
262,0
263,0
264,33
265,16
266,0
267,0
268,0
269,51
270,16
271,60
272,0
273,0
274,0
275,0
276,63
277,18
278,7
279,12
280,0
281,33
282,61
283,0
284,0
285,4
286,0
287,0
288,0
289,0
290,39
291,28
292,46
293,18
294,0
295,0
296,4
297,40
298,0
299,37
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,55
309,47
310,0
311,0
312,13
313,0
314,0
315,0
316,0
317,73
318,33
319,50
320,10
321,0
322,38
323,0
324,43
325,15
326,22
327,0
328,0
329,20
330,70
331,0
332,0
333,8
334,39
335,15
336,0
337,0
338,24
339,0
340,0
341,18
342,0
343,54
344,41
345,0
346,74
347,70
348,58
349,48
350,0
351,4
352,60
353,60
354,0
355,28
356,29
357,0
358,23
359,8
360,0
361,58
362,37
363,0
364,0
