,0
0,0
1,7
2,38
3,0
4,63
5,2
6,9
7,0
8,34
9,41
10,0
11,41
12,0
13,46
14,46
15,65
16,36
17,15
18,7
19,44
20,10
21,23
22,0
23,47
24,57
25,26
26,7
27,0
28,39
29,12
30,18
31,74
32,6
33,14
34,0
35,55
36,44
37,41
38,40
39,35
40,19
41,49
42,33
43,64
44,71
45,72
46,35
47,26
48,3
49,52
50,32
51,0
52,71
53,27
54,26
55,9
56,72
57,38
58,19
59,42
60,69
61,49
62,0
63,71
64,0
65,40
66,31
67,11
68,20
69,56
70,0
71,41
72,45
73,38
74,4
75,49
76,43
77,18
78,31
79,32
80,0
81,34
82,9
83,47
84,31
85,44
86,11
87,22
88,32
89,0
90,63
91,61
92,27
93,27
94,48
95,12
96,8
97,72
98,49
99,5
100,0
101,19
102,22
103,7
104,36
105,25
106,21
107,36
108,59
109,0
110,57
111,18
112,66
113,35
114,54
115,49
116,60
117,63
118,51
119,7
120,39
121,0
122,60
123,35
124,21
125,60
126,31
127,0
128,26
129,3
130,62
131,30
132,68
133,40
134,43
135,29
136,8
137,0
138,0
139,44
140,0
141,21
142,2
143,72
144,63
145,61
146,21
147,0
148,25
149,35
150,69
151,14
152,16
153,28
154,35
155,60
156,22
157,61
158,27
159,0
160,34
161,73
162,0
163,73
164,52
165,7
166,3
167,41
168,63
169,50
170,0
171,0
172,19
173,57
174,39
175,0
176,57
177,0
178,12
179,6
180,43
181,26
182,66
183,26
184,12
185,29
186,60
187,64
188,25
189,33
190,9
191,39
192,45
193,40
194,71
195,48
196,22
197,23
198,28
199,0
200,11
201,0
202,19
203,2
204,14
205,16
206,51
207,37
208,60
209,12
210,22
211,63
212,11
213,40
214,67
215,8
216,62
217,29
218,52
219,5
220,12
221,28
222,46
223,69
224,69
225,62
226,38
227,19
228,11
229,27
230,8
231,1
232,47
233,67
234,69
235,17
236,8
237,32
238,21
239,27
240,63
241,18
242,53
243,61
244,5
245,3
246,18
247,45
248,57
249,57
250,45
251,46
252,13
253,46
254,36
255,40
256,0
257,13
258,18
259,25
260,64
261,14
262,21
263,41
264,67
265,0
266,9
267,44
268,0
269,55
270,48
271,28
272,0
273,0
274,73
275,0
276,0
277,28
278,38
279,24
280,54
281,32
282,5
283,48
284,47
285,9
286,60
287,18
288,71
289,29
290,23
291,68
292,8
293,63
294,0
295,0
296,51
297,0
298,12
299,28
300,33
301,59
302,42
303,61
304,55
305,35
306,72
307,32
308,65
309,22
310,24
311,60
312,6
313,69
314,6
315,70
316,33
317,4
318,0
319,65
320,54
321,46
322,18
323,67
324,43
325,2
326,14
327,5
328,13
329,8
330,31
331,51
332,69
333,21
334,32
335,13
336,0
337,0
338,4
339,35
340,0
341,17
342,14
343,8
344,31
345,37
346,45
347,21
348,51
349,31
350,15
351,72
352,37
353,0
354,13
355,1
356,61
357,0
358,12
359,64
360,0
361,0
362,0
363,12
364,57
