,0
0,38
1,31
2,65
3,0
4,26
5,23
6,31
7,33
8,61
9,36
10,24
11,64
12,20
13,0
14,49
15,0
16,0
17,29
18,67
19,0
20,45
21,0
22,51
23,49
24,45
25,42
26,70
27,14
28,31
29,0
30,0
31,0
32,0
33,69
34,28
35,62
36,34
37,25
38,12
39,14
40,40
41,9
42,46
43,53
44,54
45,57
46,62
47,8
48,9
49,3
50,32
51,41
52,0
53,0
54,0
55,51
56,55
57,32
58,27
59,42
60,20
61,0
62,73
63,71
64,0
65,0
66,23
67,56
68,32
69,17
70,12
71,43
72,50
73,7
74,37
75,0
76,71
77,42
78,0
79,40
80,40
81,70
82,36
83,70
84,41
85,71
86,5
87,0
88,54
89,53
90,0
91,36
92,46
93,29
94,0
95,0
96,23
97,0
98,45
99,0
100,38
101,58
102,0
103,61
104,18
105,21
106,24
107,0
108,22
109,13
110,73
111,38
112,70
113,56
114,23
115,17
116,14
117,60
118,68
119,0
120,2
121,74
122,71
123,29
124,57
125,58
126,23
127,55
128,4
129,41
130,0
131,57
132,66
133,47
134,54
135,66
136,49
137,41
138,73
139,7
140,32
141,0
142,0
143,17
144,34
145,53
146,26
147,70
148,58
149,67
150,40
151,29
152,0
153,46
154,12
155,0
156,8
157,0
158,38
159,65
160,24
161,38
162,34
163,21
164,26
165,25
166,65
167,2
168,39
169,74
170,0
171,0
172,2
173,74
174,41
175,1
176,26
177,55
178,70
179,51
180,31
181,45
182,62
183,55
184,0
185,36
186,5
187,0
188,3
189,0
190,40
191,3
192,29
193,25
194,0
195,72
196,11
197,34
198,4
199,66
200,54
201,0
202,36
203,28
204,51
205,7
206,0
207,74
208,17
209,33
210,46
211,45
212,5
213,25
214,60
215,14
216,5
217,49
218,73
219,17
220,72
221,22
222,66
223,70
224,17
225,70
226,18
227,31
228,24
229,17
230,45
231,61
232,29
233,72
234,0
235,13
236,0
237,66
238,30
239,50
240,29
241,42
242,29
243,35
244,57
245,74
246,25
247,74
248,67
249,61
250,62
251,19
252,5
253,46
254,17
255,51
256,71
257,0
258,69
259,47
260,23
261,49
262,34
263,70
264,46
265,22
266,0
267,0
268,59
269,52
270,50
271,64
272,71
273,6
274,63
275,16
276,55
277,18
278,9
279,2
280,55
281,9
282,62
283,6
284,53
285,52
286,69
287,27
288,56
289,73
290,66
291,38
292,18
293,15
294,11
295,61
296,0
297,2
298,42
299,19
300,38
301,11
302,60
303,31
304,19
305,0
306,22
307,0
308,42
309,67
310,21
311,63
312,33
313,46
314,0
315,42
316,31
317,72
318,17
319,0
320,71
321,26
322,25
323,49
324,61
325,73
326,0
327,57
328,0
329,63
330,57
331,57
332,0
333,56
334,59
335,0
336,30
337,13
338,0
339,34
340,41
341,35
342,51
343,57
344,69
345,44
346,0
347,39
348,41
349,22
350,45
351,0
352,47
353,66
354,44
355,14
356,26
357,21
358,14
359,33
360,47
361,40
362,38
363,36
364,11
