,0
0,54
1,14
2,59
3,13
4,5
5,27
6,32
7,42
8,69
9,70
10,64
11,59
12,21
13,57
14,0
15,40
16,71
17,70
18,23
19,61
20,28
21,35
22,19
23,29
24,61
25,24
26,22
27,25
28,39
29,43
30,0
31,16
32,55
33,47
34,2
35,40
36,65
37,69
38,69
39,50
40,38
41,68
42,2
43,28
44,58
45,2
46,59
47,68
48,42
49,6
50,64
51,25
52,37
53,73
54,7
55,62
56,17
57,22
58,57
59,62
60,59
61,56
62,68
63,15
64,73
65,56
66,73
67,26
68,72
69,1
70,0
71,47
72,35
73,65
74,17
75,16
76,49
77,0
78,11
79,71
80,42
81,41
82,63
83,0
84,0
85,29
86,0
87,58
88,59
89,63
90,10
91,53
92,40
93,0
94,3
95,2
96,53
97,34
98,39
99,69
100,51
101,60
102,41
103,0
104,1
105,45
106,20
107,58
108,22
109,64
110,20
111,15
112,55
113,49
114,25
115,66
116,61
117,29
118,25
119,41
120,0
121,26
122,33
123,2
124,8
125,67
126,45
127,69
128,30
129,0
130,22
131,7
132,70
133,21
134,56
135,0
136,31
137,0
138,28
139,45
140,5
141,35
142,49
143,36
144,11
145,74
146,7
147,37
148,67
149,0
150,29
151,7
152,0
153,67
154,68
155,26
156,71
157,41
158,16
159,57
160,72
161,0
162,72
163,49
164,34
165,68
166,16
167,60
168,9
169,48
170,2
171,71
172,29
173,60
174,41
175,18
176,52
177,72
178,68
179,31
180,8
181,30
182,25
183,31
184,40
185,23
186,3
187,42
188,41
189,9
190,54
191,60
192,20
193,0
194,46
195,15
196,50
197,31
198,62
199,29
200,33
201,47
202,58
203,39
204,31
205,40
206,25
207,32
208,64
209,25
210,9
211,66
212,42
213,8
214,20
215,5
216,55
217,63
218,20
219,0
220,74
221,68
222,18
223,44
224,2
225,68
226,41
227,48
228,7
229,0
230,12
231,24
232,54
233,33
234,71
235,1
236,51
237,1
238,66
239,11
240,4
241,24
242,48
243,51
244,14
245,62
246,48
247,2
248,11
249,29
250,51
251,57
252,66
253,71
254,0
255,26
256,34
257,0
258,0
259,56
260,9
261,45
262,30
263,61
264,73
265,15
266,72
267,42
268,72
269,25
270,55
271,0
272,68
273,64
274,59
275,0
276,55
277,69
278,0
279,5
280,0
281,27
282,54
283,74
284,4
285,9
286,0
287,3
288,12
289,36
290,64
291,63
292,20
293,0
294,28
295,69
296,9
297,74
298,12
299,50
300,32
301,68
302,50
303,67
304,26
305,66
306,62
307,6
308,0
309,0
310,31
311,35
312,14
313,73
314,11
315,11
316,60
317,0
318,23
319,16
320,68
321,7
322,44
323,44
324,40
325,53
326,71
327,7
328,63
329,43
330,4
331,65
332,44
333,74
334,39
335,24
336,9
337,36
338,0
339,12
340,44
341,72
342,54
343,70
344,46
345,42
346,31
347,53
348,51
349,56
350,0
351,39
352,36
353,43
354,20
355,62
356,34
357,0
358,56
359,51
360,18
361,31
362,13
363,0
364,33
