,agent,day,inventory,purchase,r_s_a,q_s_a
102,Wholesale,26,0.0,40,-56.0,-56.0
103,Regional_Warehouse,26,0.0,11,-158.0,-158.0
104,Factory,26,0.0,7,-168.0,-168.0
105,Retail,27,0.0,63,-16.299999999999955,-16.299999999999955
106,Wholesale,27,0.0,48,-46.0,-46.0
107,Regional_Warehouse,27,0.0,40,-120.0,-120.0
108,Factory,27,0.0,82,-182.0,-182.0
109,Retail,28,0.0,9,-11.899999999999977,-11.899999999999977
110,Wholesale,28,0.0,3,-158.0,-158.0
111,Regional_Warehouse,28,0.0,69,-40.0,-40.0
112,Factory,28,0.0,86,-142.0,-142.0
113,Retail,29,0.0,65,-10.0,-10.0
114,Wholesale,29,0.0,88,-166.0,-166.0
115,Regional_Warehouse,29,0.0,14,-6.0,-6.0
116,Factory,29,0.0,26,-90.0,-90.0
117,Retail,30,0.0,75,-11.5,-11.5
118,Wholesale,30,0.0,13,-74.0,-74.0
119,Regional_Warehouse,30,0.0,64,-88.0,-88.0
120,Factory,30,0.0,33,-186.0,-186.0
121,Retail,31,0.0,56,-11.100000000000023,-11.100000000000023
122,Wholesale,31,0.0,14,-192.0,-192.0
123,Regional_Warehouse,31,0.0,75,-134.0,-134.0
124,Factory,31,0.0,25,-112.0,-112.0
125,Retail,32,0.0,23,-12.600000000000023,-12.600000000000023
126,Wholesale,32,0.0,62,-58.0,-58.0
127,Regional_Warehouse,32,0.0,14,-170.0,-170.0
128,Factory,32,0.0,32,-94.0,-94.0
129,Retail,33,0.0,27,-14.799999999999955,-14.799999999999955
130,Wholesale,33,0.0,9,-152.0,-152.0
131,Regional_Warehouse,33,0.0,1,-176.0,-176.0
132,Factory,33,0.0,51,-160.0,-160.0
133,Retail,34,0.0,63,-16.299999999999955,-16.299999999999955
134,Wholesale,34,0.0,27,-32.0,-32.0
135,Regional_Warehouse,34,0.0,90,-188.0,-188.0
136,Factory,34,0.0,78,-94.0,-94.0
137,Retail,35,0.0,27,-11.899999999999977,-11.899999999999977
138,Wholesale,35,0.0,53,-42.0,-42.0
139,Regional_Warehouse,35,0.0,58,-132.0,-132.0
140,Factory,35,0.0,79,-10.0,-10.0
141,Retail,36,0.0,43,-10.0,-10.0
142,Wholesale,36,0.0,39,-76.0,-76.0
143,Regional_Warehouse,36,0.0,92,-20.0,-20.0
144,Factory,36,0.0,14,-98.0,-98.0
145,Retail,37,0.0,32,-11.5,-11.5
146,Wholesale,37,0.0,28,-100.0,-100.0
147,Regional_Warehouse,37,0.0,10,-84.0,-84.0
148,Factory,37,0.0,21,-128.0,-128.0
149,Retail,38,0.0,42,-11.100000000000023,-11.100000000000023
150,Wholesale,38,0.0,29,-110.0,-110.0
151,Regional_Warehouse,38,0.0,9,-86.0,-86.0
152,Factory,38,0.0,97,-20.0,-20.0
153,Retail,39,0.0,42,-12.600000000000023,-12.600000000000023
154,Wholesale,39,0.0,93,-190.0,-190.0
155,Regional_Warehouse,39,0.0,27,-128.0,-128.0
156,Factory,39,0.0,17,-38.0,-38.0
157,Retail,40,0.0,8,-14.799999999999955,-14.799999999999955
158,Wholesale,40,0.0,15,-194.0,-194.0
159,Regional_Warehouse,40,0.0,67,-176.0,-176.0
160,Factory,40,0.0,14,-178.0,-178.0
161,Retail,41,0.0,92,-16.299999999999955,-16.299999999999955
162,Wholesale,41,0.0,93,-154.0,-154.0
163,Regional_Warehouse,41,0.0,56,-94.0,-94.0
164,Factory,41,0.0,59,-138.0,-138.0
165,Retail,42,0.0,74,-11.899999999999977,-11.899999999999977
166,Wholesale,42,0.0,56,-192.0,-192.0
167,Regional_Warehouse,42,0.0,5,-32.0,-32.0
168,Factory,42,0.0,92,-82.0,-82.0
169,Retail,43,0.0,16,-10.0,-10.0
170,Wholesale,43,0.0,91,-74.0,-74.0
171,Regional_Warehouse,43,0.0,81,-126.0,-126.0
172,Factory,43,0.0,37,-116.0,-116.0
173,Retail,44,0.0,42,-11.5,-11.5
174,Wholesale,44,0.0,79,-78.0,-78.0
175,Regional_Warehouse,44,0.0,70,-158.0,-158.0
176,Factory,44,0.0,40,-150.0,-150.0
177,Retail,45,0.0,24,-11.100000000000023,-11.100000000000023
178,Wholesale,45,0.0,68,-138.0,-138.0
179,Regional_Warehouse,45,0.0,4,-170.0,-170.0
180,Factory,45,0.0,98,-34.0,-34.0
181,Retail,46,0.0,99,-12.600000000000023,-12.600000000000023
182,Wholesale,46,0.0,85,-10.0,-10.0
183,Regional_Warehouse,46,0.0,42,-12.0,-12.0
184,Factory,46,0.0,0,-154.0,-154.0
185,Retail,47,0.0,20,-14.799999999999955,-14.799999999999955
186,Wholesale,47,0.0,62,-30.0,-30.0
187,Regional_Warehouse,47,0.0,54,-96.0,-96.0
188,Factory,47,0.0,33,-92.0,-92.0
189,Retail,48,0.0,1,-16.299999999999955,-16.299999999999955
190,Wholesale,48,0.0,40,-174.0,-174.0
191,Regional_Warehouse,48,0.0,27,-14.0,-14.0
192,Factory,48,0.0,59,-118.0,-118.0
193,Retail,49,0.0,17,-11.899999999999977,-11.899999999999977
194,Wholesale,49,0.0,29,-144.0,-144.0
195,Regional_Warehouse,49,0.0,69,-42.0,-42.0
196,Factory,49,0.0,84,-22.0,-22.0
197,Retail,50,0.0,81,-10.0,-10.0
198,Wholesale,50,0.0,54,-84.0,-84.0
199,Regional_Warehouse,50,0.0,55,-62.0,-62.0
200,Factory,50,0.0,51,-134.0,-134.0
201,Retail,51,0.0,70,-11.5,-11.5
202,Wholesale,51,0.0,70,-40.0,-40.0
203,Regional_Warehouse,51,0.0,35,-52.0,-52.0
204,Factory,51,0.0,22,-66.0,-66.0
205,Retail,52,0.0,58,-11.100000000000023,-11.100000000000023
206,Wholesale,52,0.0,76,-130.0,-130.0
207,Regional_Warehouse,52,0.0,31,-54.0,-54.0
208,Factory,52,0.0,71,-18.0,-18.0
209,Retail,53,0.0,49,-12.600000000000023,-12.600000000000023
210,Wholesale,53,0.0,42,-116.0,-116.0
211,Regional_Warehouse,53,0.0,22,-182.0,-182.0
212,Factory,53,0.0,56,-138.0,-138.0
213,Retail,54,0.0,86,-14.799999999999955,-14.799999999999955
214,Wholesale,54,0.0,91,-66.0,-66.0
215,Regional_Warehouse,54,0.0,94,-132.0,-132.0
216,Factory,54,0.0,77,-4.0,-4.0
217,Retail,55,0.0,22,-16.299999999999955,-16.299999999999955
218,Wholesale,55,0.0,42,-34.0,-34.0
219,Regional_Warehouse,55,0.0,70,-178.0,-178.0
220,Factory,55,0.0,28,-12.0,-12.0
221,Retail,56,0.0,61,-11.899999999999977,-11.899999999999977
222,Wholesale,56,0.0,60,-94.0,-94.0
223,Regional_Warehouse,56,0.0,17,-172.0,-172.0
224,Factory,56,0.0,85,-126.0,-126.0
225,Retail,57,0.0,46,-10.0,-10.0
226,Wholesale,57,0.0,94,-194.0,-194.0
227,Regional_Warehouse,57,0.0,63,-42.0,-42.0
228,Factory,57,0.0,45,-184.0,-184.0
229,Retail,58,0.0,65,-11.5,-11.5
230,Wholesale,58,0.0,54,-108.0,-108.0
231,Regional_Warehouse,58,0.0,14,-170.0,-170.0
232,Factory,58,0.0,16,-32.0,-32.0
233,Retail,59,0.0,56,-11.100000000000023,-11.100000000000023
234,Wholesale,59,0.0,34,-156.0,-156.0
235,Regional_Warehouse,59,0.0,76,-36.0,-36.0
236,Factory,59,0.0,88,-104.0,-104.0
237,Retail,60,0.0,78,-12.600000000000023,-12.600000000000023
238,Wholesale,60,0.0,13,-60.0,-60.0
239,Regional_Warehouse,60,0.0,98,-68.0,-68.0
240,Factory,60,0.0,70,-188.0,-188.0
241,Retail,61,0.0,26,-14.799999999999955,-14.799999999999955
242,Wholesale,61,0.0,76,-146.0,-146.0
243,Regional_Warehouse,61,0.0,41,-182.0,-182.0
244,Factory,61,0.0,90,-20.0,-20.0
245,Retail,62,0.0,91,-16.299999999999955,-16.299999999999955
246,Wholesale,62,0.0,67,-30.0,-30.0
247,Regional_Warehouse,62,0.0,48,-156.0,-156.0
248,Factory,62,0.0,28,-116.0,-116.0
249,Retail,63,0.0,99,-11.899999999999977,-11.899999999999977
250,Wholesale,63,0.0,69,-8.0,-8.0
251,Regional_Warehouse,63,0.0,86,-78.0,-78.0
252,Factory,63,0.0,34,-78.0,-78.0
253,Retail,64,0.0,22,-10.0,-10.0
254,Wholesale,64,0.0,96,-38.0,-38.0
255,Regional_Warehouse,64,0.0,13,-92.0,-92.0
256,Factory,64,0.0,79,-144.0,-144.0
257,Retail,65,0.0,56,-11.5,-11.5
258,Wholesale,65,0.0,70,-22.0,-22.0
259,Regional_Warehouse,65,0.0,67,-162.0,-162.0
260,Factory,65,0.0,39,-160.0,-160.0
261,Retail,66,0.0,83,-11.100000000000023,-11.100000000000023
262,Wholesale,66,0.0,69,-72.0,-72.0
263,Regional_Warehouse,66,0.0,23,-130.0,-130.0
264,Factory,66,0.0,25,-104.0,-104.0
265,Retail,67,0.0,94,-12.600000000000023,-12.600000000000023
266,Wholesale,67,0.0,71,-186.0,-186.0
267,Regional_Warehouse,67,0.0,66,-110.0,-110.0
268,Factory,67,0.0,83,-86.0,-86.0
269,Retail,68,0.0,62,-14.799999999999955,-14.799999999999955
270,Wholesale,68,0.0,25,-48.0,-48.0
271,Regional_Warehouse,68,0.0,51,-94.0,-94.0
272,Factory,68,0.0,61,-92.0,-92.0
273,Retail,69,0.0,56,-16.30000000000001,-16.30000000000001
274,Wholesale,69,0.0,22,-66.0,-66.0
275,Regional_Warehouse,69,0.0,38,-128.0,-128.0
276,Factory,69,0.0,38,-64.0,-64.0
277,Retail,70,0.0,75,-11.899999999999977,-11.899999999999977
278,Wholesale,70,0.0,58,-150.0,-150.0
279,Regional_Warehouse,70,0.0,49,-38.0,-38.0
280,Factory,70,0.0,28,-122.0,-122.0
281,Retail,71,0.0,14,-10.0,-10.0
282,Wholesale,71,0.0,57,-124.0,-124.0
283,Regional_Warehouse,71,0.0,97,-170.0,-170.0
284,Factory,71,0.0,18,-60.0,-60.0
285,Retail,72,0.0,36,-11.5,-11.5
286,Wholesale,72,0.0,18,-80.0,-80.0
287,Regional_Warehouse,72,0.0,35,-172.0,-172.0
288,Factory,72,0.0,50,-170.0,-170.0
289,Retail,73,0.0,56,-11.100000000000023,-11.100000000000023
290,Wholesale,73,0.0,23,-74.0,-74.0
291,Regional_Warehouse,73,0.0,51,-142.0,-142.0
292,Factory,73,0.0,11,-192.0,-192.0
293,Retail,74,0.0,66,-12.600000000000023,-12.600000000000023
294,Wholesale,74,0.0,46,-140.0,-140.0
295,Regional_Warehouse,74,0.0,52,-188.0,-188.0
296,Factory,74,0.0,92,-14.0,-14.0
297,Retail,75,0.0,2,-14.800000000000011,-14.800000000000011
298,Wholesale,75,0.0,96,-154.0,-154.0
299,Regional_Warehouse,75,0.0,11,-198.0,-198.0
300,Factory,75,0.0,24,-192.0,-192.0
301,Retail,76,0.0,17,-16.30000000000001,-16.30000000000001
302,Wholesale,76,0.0,82,-32.0,-32.0
303,Regional_Warehouse,76,0.0,50,-56.0,-56.0
304,Factory,76,0.0,16,-90.0,-90.0
305,Retail,77,0.0,2,-11.899999999999977,-11.899999999999977
306,Wholesale,77,0.0,43,-136.0,-136.0
307,Regional_Warehouse,77,0.0,65,-40.0,-40.0
308,Factory,77,0.0,91,-38.0,-38.0
309,Retail,78,0.0,42,-10.0,-10.0
310,Wholesale,78,0.0,79,-146.0,-146.0
311,Regional_Warehouse,78,0.0,66,-70.0,-70.0
312,Factory,78,0.0,10,-164.0,-164.0
313,Retail,79,0.0,41,-11.5,-11.5
314,Wholesale,79,0.0,49,-178.0,-178.0
