,agent,day,inventory,purchase,r_s_a,q_s_a
25522,Wholesale,176,0.0,67,-14.0,-14.0
25523,Regional_Warehouse,176,0.0,92,-46.0,-46.0
25524,Factory,176,0.0,58,-10.0,-10.0
25525,Retail,177,0.0,78,-10.0,-10.0
25526,Wholesale,177,0.0,40,-194.0,-194.0
25527,Regional_Warehouse,177,0.0,98,-64.0,-64.0
25528,Factory,177,0.0,6,-2.0,-2.0
25529,Retail,178,0.0,58,-11.5,-11.5
25530,Wholesale,178,0.0,35,-150.0,-150.0
25531,Regional_Warehouse,178,0.0,98,-12.0,-12.0
25532,Factory,178,0.0,90,-186.0,-186.0
25533,Retail,179,0.0,46,-11.099999999999909,-11.099999999999909
25534,Wholesale,179,0.0,26,-118.0,-118.0
25535,Regional_Warehouse,179,0.0,75,-178.0,-178.0
25536,Factory,179,0.0,70,-176.0,-176.0
25537,Retail,180,0.0,24,-12.599999999999909,-12.599999999999909
25538,Wholesale,180,0.0,54,-100.0,-100.0
25539,Regional_Warehouse,180,0.0,36,-114.0,-114.0
25540,Factory,180,0.0,97,-56.0,-56.0
25541,Retail,181,0.0,65,-14.800000000000182,-14.800000000000182
25542,Wholesale,181,0.0,23,-44.0,-44.0
25543,Regional_Warehouse,181,0.0,91,-82.0,-82.0
25544,Factory,181,0.0,41,-24.0,-24.0
25545,Retail,182,0.0,73,-16.300000000000182,-16.300000000000182
25546,Wholesale,182,0.0,43,-12.0,-12.0
25547,Regional_Warehouse,182,0.0,66,-182.0,-182.0
25548,Factory,182,0.0,38,-194.0,-194.0
25549,Retail,183,0.0,41,-11.900000000000091,-11.900000000000091
25550,Wholesale,183,0.0,41,-38.0,-38.0
25551,Regional_Warehouse,183,0.0,82,-50.0,-50.0
25552,Factory,183,0.0,98,-30.0,-30.0
25553,Retail,184,0.0,10,-10.0,-10.0
25554,Wholesale,184,0.0,20,-92.0,-92.0
25555,Regional_Warehouse,184,0.0,27,-180.0,-180.0
25556,Factory,184,0.0,82,-96.0,-96.0
25557,Retail,185,0.0,5,-11.5,-11.5
25558,Wholesale,185,0.0,1,-162.0,-162.0
25559,Regional_Warehouse,185,0.0,60,-116.0,-116.0
25560,Factory,185,0.0,84,-88.0,-88.0
25561,Retail,186,0.0,59,-11.099999999999909,-11.099999999999909
25562,Wholesale,186,0.0,49,-150.0,-150.0
25563,Regional_Warehouse,186,0.0,25,-140.0,-140.0
25564,Factory,186,0.0,10,-122.0,-122.0
25565,Retail,187,0.0,85,-12.599999999999909,-12.599999999999909
25566,Wholesale,187,0.0,1,-158.0,-158.0
25567,Regional_Warehouse,187,0.0,71,-86.0,-86.0
25568,Factory,187,0.0,10,-34.0,-34.0
25569,Retail,188,0.0,66,-14.800000000000182,-14.800000000000182
25570,Wholesale,188,0.0,62,-102.0,-102.0
25571,Regional_Warehouse,188,0.0,63,-48.0,-48.0
25572,Factory,188,0.0,83,-84.0,-84.0
25573,Retail,189,0.0,52,-16.300000000000182,-16.300000000000182
25574,Wholesale,189,0.0,36,-172.0,-172.0
25575,Regional_Warehouse,189,0.0,31,-38.0,-38.0
25576,Factory,189,0.0,16,-100.0,-100.0
25577,Retail,190,0.0,97,-11.900000000000091,-11.900000000000091
25578,Wholesale,190,0.0,68,-198.0,-198.0
25579,Regional_Warehouse,190,0.0,24,-144.0,-144.0
25580,Factory,190,0.0,42,0.0,0.0
25581,Retail,191,0.0,53,-10.0,-10.0
25582,Wholesale,191,0.0,91,-66.0,-66.0
25583,Regional_Warehouse,191,0.0,91,-172.0,-172.0
25584,Factory,191,0.0,27,-100.0,-100.0
25585,Retail,192,0.0,62,-11.5,-11.5
25586,Wholesale,192,0.0,27,-8.0,-8.0
25587,Regional_Warehouse,192,0.0,86,-38.0,-38.0
25588,Factory,192,0.0,80,-16.0,-16.0
25589,Retail,193,0.0,58,-11.099999999999909,-11.099999999999909
25590,Wholesale,193,0.0,84,-52.0,-52.0
25591,Regional_Warehouse,193,0.0,65,-68.0,-68.0
25592,Factory,193,0.0,53,-166.0,-166.0
25593,Retail,194,0.0,35,-12.599999999999909,-12.599999999999909
25594,Wholesale,194,0.0,79,-62.0,-62.0
25595,Regional_Warehouse,194,0.0,26,-30.0,-30.0
25596,Factory,194,0.0,71,-114.0,-114.0
25597,Retail,195,0.0,30,-14.800000000000182,-14.800000000000182
25598,Wholesale,195,0.0,67,-56.0,-56.0
25599,Regional_Warehouse,195,0.0,20,-118.0,-118.0
25600,Factory,195,0.0,70,-60.0,-60.0
25601,Retail,196,0.0,67,-16.300000000000182,-16.300000000000182
25602,Wholesale,196,0.0,49,-120.0,-120.0
25603,Regional_Warehouse,196,0.0,54,0.0,0.0
25604,Factory,196,0.0,84,-176.0,-176.0
25605,Retail,197,0.0,55,-11.900000000000091,-11.900000000000091
25606,Wholesale,197,0.0,47,-6.0,-6.0
25607,Regional_Warehouse,197,0.0,56,-112.0,-112.0
25608,Factory,197,0.0,62,-170.0,-170.0
25609,Retail,198,0.0,87,-10.0,-10.0
25610,Wholesale,198,0.0,1,-182.0,-182.0
25611,Regional_Warehouse,198,0.0,78,-86.0,-86.0
25612,Factory,198,0.0,62,-100.0,-100.0
25613,Retail,199,0.0,63,-11.5,-11.5
25614,Wholesale,199,0.0,86,-4.0,-4.0
25615,Regional_Warehouse,199,0.0,5,-168.0,-168.0
25616,Factory,199,0.0,79,-30.0,-30.0
25617,Retail,200,0.0,5,-11.099999999999909,-11.099999999999909
25618,Wholesale,200,0.0,63,-180.0,-180.0
25619,Regional_Warehouse,200,0.0,16,-138.0,-138.0
25620,Factory,200,0.0,27,-32.0,-32.0
25621,Retail,201,0.0,36,-0.599999999999909,-0.599999999999909
25622,Wholesale,201,0.0,67,-102.0,-102.0
25623,Regional_Warehouse,201,0.0,26,-72.0,-72.0
25624,Factory,201,0.0,81,-180.0,-180.0
25625,Retail,202,0.0,59,-14.800000000000182,-14.800000000000182
25626,Wholesale,202,0.0,58,-64.0,-64.0
25627,Regional_Warehouse,202,0.0,34,-174.0,-174.0
25628,Factory,202,0.0,57,-198.0,-198.0
25629,Retail,203,0.0,14,-16.300000000000182,-16.300000000000182
25630,Wholesale,203,0.0,80,-56.0,-56.0
25631,Regional_Warehouse,203,0.0,3,-54.0,-54.0
25632,Factory,203,0.0,12,-12.0,-12.0
25633,Retail,204,0.0,20,-11.900000000000091,-11.900000000000091
25634,Wholesale,204,0.0,89,-196.0,-196.0
25635,Regional_Warehouse,204,0.0,96,-152.0,-152.0
25636,Factory,204,0.0,1,-4.0,-4.0
25637,Retail,205,0.0,73,-10.0,-10.0
25638,Wholesale,205,0.0,69,-36.0,-36.0
25639,Regional_Warehouse,205,0.0,34,-170.0,-170.0
25640,Factory,205,0.0,8,-172.0,-172.0
25641,Retail,206,0.0,82,-11.5,-11.5
25642,Wholesale,206,0.0,40,-102.0,-102.0
25643,Regional_Warehouse,206,0.0,95,-142.0,-142.0
25644,Factory,206,0.0,58,-172.0,-172.0
25645,Retail,207,0.0,3,-11.099999999999909,-11.099999999999909
25646,Wholesale,207,0.0,74,-142.0,-142.0
25647,Regional_Warehouse,207,0.0,29,-8.0,-8.0
25648,Factory,207,0.0,90,-62.0,-62.0
25649,Retail,208,0.0,19,-12.599999999999909,-12.599999999999909
25650,Wholesale,208,0.0,92,-74.0,-74.0
25651,Regional_Warehouse,208,0.0,5,-132.0,-132.0
25652,Factory,208,0.0,82,-114.0,-114.0
25653,Retail,209,4.6,0,-340.0,-340.0
25654,Wholesale,209,0.0,15,2.0,2.0
25655,Regional_Warehouse,209,0.0,50,4.0,4.0
25656,Factory,209,0.0,95,42.0,42.0
25657,Retail,210,0.0,53,452.77397260273983,452.77397260273983
25658,Wholesale,210,0.0,24,-154.0,-154.0
25659,Regional_Warehouse,210,0.0,54,-62.0,-62.0
25660,Factory,210,0.0,33,-8.0,-8.0
25661,Retail,211,0.0,95,-11.900000000000091,-11.900000000000091
25662,Wholesale,211,0.0,43,-56.0,-56.0
25663,Regional_Warehouse,211,6.0,82,-420.0,-420.0
25664,Factory,211,0.0,76,4.0,4.0
25665,Retail,212,1.0,68,-40.0,-40.0
25666,Wholesale,212,0.0,23,-64.0,-64.0
25667,Regional_Warehouse,212,0.0,12,391.8356164383549,391.8356164383549
25668,Factory,212,0.0,22,-80.0,-80.0
25669,Retail,213,4.0,50,-220.02739726027403,-220.02739726027403
25670,Wholesale,213,0.0,52,-68.0,-68.0
25671,Regional_Warehouse,213,0.0,95,-96.0,-96.0
25672,Factory,213,0.0,1,-44.0,-44.0
25673,Retail,214,0.0,61,396.3904109589039,396.3904109589039
25674,Wholesale,214,0.0,5,-8.0,-8.0
25675,Regional_Warehouse,214,0.0,15,-80.0,-80.0
25676,Factory,214,0.0,25,-198.0,-198.0
25677,Retail,215,0.0,98,-11.099999999999909,-11.099999999999909
25678,Wholesale,215,0.0,62,-56.0,-56.0
25679,Regional_Warehouse,215,0.0,44,-126.0,-126.0
25680,Factory,215,0.0,96,-140.0,-140.0
25681,Retail,216,23.814024579056994,80,-2080.262212115129,-2080.262212115129
25682,Wholesale,216,0.0,6,209.3682949486829,209.3682949486829
25683,Regional_Warehouse,216,0.0,70,221.36829494868653,221.36829494868653
25684,Factory,216,0.0,21,167.36829494868653,167.36829494868653
25685,Retail,217,25.414024579056992,40,-70.65243902956354,-70.65243902956354
25686,Wholesale,217,0.0,17,-54.0,-54.0
25687,Regional_Warehouse,217,0.0,36,-84.0,-84.0
25688,Factory,217,1.7409890124730083,16,-14.459340748380782,-855.4727474219235
25689,Retail,218,19.005013591530002,75,657.6147142314276,657.6147142314276
25690,Wholesale,218,0.0,6,-165.10813185032748,-165.10813185032748
25691,Regional_Warehouse,218,0.0,67,-101.10813185032384,-101.10813185032384
25692,Factory,218,0.0,59,-10.696489431051305,-10.696489431051305
25693,Retail,219,14.055013591530003,74,504.4793146961224,504.4793146961224
25694,Wholesale,219,0.0,92,-56.0,-56.0
25695,Regional_Warehouse,219,0.0,83,-94.0,-94.0
25696,Factory,219,13.897239012473008,28,-823.8343407483808,-823.8343407483808
25697,Retail,220,22.95225260400301,55,-751.1365799880919,-751.1365799880919
25698,Wholesale,220,0.0,42,56.76686814967252,56.76686814967252
25699,Regional_Warehouse,220,0.0,63,80.76686814967616,80.76686814967616
25700,Factory,220,0.0,48,860.2204626237435,860.2204626237435
25701,Retail,221,17.20225260400301,19,574.3711711615342,574.3711711615342
25702,Wholesale,221,0.0,33,-106.0,-106.0
25703,Regional_Warehouse,221,0.0,6,-66.0,-66.0
25704,Factory,221,0.0,30,-60.0,-60.0
25705,Retail,222,23.72596220471131,21,-532.1051586556368,-532.1051586556368
25706,Wholesale,222,0.0,62,118.8845152085014,118.8845152085014
25707,Regional_Warehouse,222,0.0,44,0.8845152085013979,0.8845152085013979
25708,Factory,222,0.0,43,-11.11548479150224,-11.11548479150224
25709,Retail,223,17.425962204711308,51,629.3499736382273,629.3499736382273
25710,Wholesale,223,0.0,49,-6.0,-6.0
25711,Regional_Warehouse,223,0.0,96,-102.0,-102.0
25712,Factory,223,0.0,3,-152.0,-152.0
25713,Retail,224,21.025962204711306,18,-250.47742362204735,-250.47742362204735
25714,Wholesale,224,0.9806574915272108,49,31.547400677824044,31.547400677824044
25715,Regional_Warehouse,224,0.0,6,-0.23211010167506174,-0.23211010167506174
25716,Factory,224,0.0,81,-10.232110101671424,-10.232110101671424
25717,Retail,225,26.856619696238518,68,-443.835227996482,-443.835227996482
25718,Wholesale,225,0.0,3,96.19362189196909,96.19362189196909
25719,Regional_Warehouse,225,20.0,69,-1270.0,-1270.0
25720,Factory,225,0.0,75,322.0,322.0
25721,Retail,226,40.90661969623852,72,-1205.7357977998972,-1205.7357977998972
25722,Wholesale,226,0.0,52,190.0,190.0
25723,Regional_Warehouse,226,0.0,71,1585.4520547945212,1585.4520547945212
25724,Factory,226,0.0,30,-182.0,-182.0
25725,Retail,227,42.90661969623852,63,-131.1207293067464,-131.1207293067464
25726,Wholesale,227,0.0,12,-64.0,-64.0
25727,Regional_Warehouse,227,24.0,23,-1610.0,-1610.0
25728,Factory,227,0.0,11,178.0,178.0
25729,Retail,228,61.15661969623852,93,-1586.1755238272945,-1586.1755238272945
25730,Wholesale,228,0.0,1,198.0,198.0
25731,Regional_Warehouse,228,0.0,77,1801.3424657534233,1801.3424657534233
25732,Factory,228,0.0,4,-64.0,-64.0
25733,Retail,229,87.60661969623852,32,-2326.6755238272945,-2326.6755238272945
25734,Wholesale,229,0.408119942718713,27,287.35040458250296,287.35040458250296
25735,Regional_Warehouse,229,0.0,4,208.89743931262274,208.89743931262274
25736,Factory,229,0.0,69,296.8974393126264,296.8974393126264
25737,Retail,230,81.71473963895724,77,590.8690237937753,590.8690237937753
25738,Wholesale,230,0.0,92,-140.46414663817268,-140.46414663817268
25739,Regional_Warehouse,230,0.0,18,-8.0,-8.0
25740,Factory,230,0.0,43,-170.0,-170.0
25741,Retail,231,74.31473963895724,16,737.7612400098915,737.7612400098915
25742,Wholesale,231,0.0,2,-28.0,-28.0
25743,Regional_Warehouse,231,0.0,39,-190.0,-190.0
25744,Factory,231,0.0,38,-24.0,-24.0
25745,Retail,232,68.16473963895723,30,632.9639797359196,632.9639797359196
25746,Wholesale,232,0.0,42,-16.0,-16.0
25747,Regional_Warehouse,232,31.031680478043896,97,-2152.2176334630713,-2152.2176334630713
25748,Factory,232,0.0,90,274.38016573652567,274.38016573652567
25749,Retail,233,74.21473963895723,73,-486.86752711339614,-486.86752711339614
25750,Wholesale,233,0.0,16,-24.0,-24.0
25751,Regional_Warehouse,233,19.031680478043896,48,959.149816973204,959.149816973204
25752,Factory,233,0.0,96,-136.0,-136.0
25753,Retail,234,88.24642011700112,52,-1214.8845235620047,-1214.8845235620047
25754,Wholesale,234,0.0,87,138.38016573652567,138.38016573652567
25755,Regional_Warehouse,234,0.0,78,1424.0763832960874,1424.0763832960874
25756,Factory,234,0.0,15,-174.0,-174.0
25757,Retail,235,82.49642011700112,83,572.582289859809,572.582289859809
25758,Wholesale,235,0.0,54,-182.0,-182.0
25759,Regional_Warehouse,235,0.0,48,-166.0,-166.0
25760,Factory,235,0.0,84,-24.0,-24.0
25761,Retail,236,76.94642011700113,79,552.7398241063838,552.7398241063838
25762,Wholesale,236,0.0,96,-10.0,-10.0
25763,Regional_Warehouse,236,0.0,9,-104.0,-104.0
25764,Factory,236,0.0,78,-102.0,-102.0
25765,Retail,237,83.92664898214183,0,-567.3287189617586,-567.3287189617586
25766,Wholesale,237,0.0,97,85.36274638168834,85.36274638168834
25767,Regional_Warehouse,237,0.0,18,101.3627463816847,101.3627463816847
25768,Factory,237,0.0,89,63.36274638168834,63.36274638168834
25769,Retail,238,76.80687784728252,32,712.480041891251,712.480041891251
25770,Wholesale,238,0.0,94,-64.63725361831166,-64.63725361831166
25771,Regional_Warehouse,238,0.0,87,-20.6372536183153,-20.6372536183153
25772,Factory,238,0.0,64,-178.63725361831166,-178.63725361831166
25773,Retail,239,72.65687784728252,11,452.8957019767877,452.8957019767877
25774,Wholesale,239,0.0,26,-128.0,-128.0
25775,Regional_Warehouse,239,0.0,62,40.0,40.0
25776,Factory,239,6.0,45,-320.0,-320.0
25777,Retail,240,75.70687784728251,2,-216.990599393077,-216.990599393077
25778,Wholesale,240,0.0,45,40.0,40.0
25779,Regional_Warehouse,240,0.0,12,-22.0,-22.0
25780,Factory,240,0.0,52,415.8356164383549,415.8356164383549
25781,Retail,241,72.70687784728251,81,317.9258389630877,317.9258389630877
25782,Wholesale,241,0.0,77,-116.0,-116.0
25783,Regional_Warehouse,241,0.0,99,-144.0,-144.0
25784,Factory,241,0.0,56,-142.0,-142.0
25785,Retail,242,66.95687784728251,18,573.0080307439102,573.0080307439102
25786,Wholesale,242,0.0,72,-154.0,-154.0
25787,Regional_Warehouse,242,0.0,84,-178.0,-178.0
25788,Factory,242,0.0,99,-184.0,-184.0
25789,Retail,243,76.03237041941631,7,-763.1287665015561,-763.1287665015561
25790,Wholesale,243,0.0,94,17.505910865605983,17.505910865605983
25791,Regional_Warehouse,243,0.0,81,99.50591086560235,99.50591086560235
25792,Factory,243,0.0,97,61.50591086560598,61.50591086560598
25793,Retail,244,69.73237041941631,63,627.9169213583718,627.9169213583718
25794,Wholesale,244,0.0,76,-144.0,-144.0
25795,Regional_Warehouse,244,0.0,92,-116.0,-116.0
25796,Factory,244,0.0,21,-42.0,-42.0
25797,Retail,245,72.02393176888651,31,-134.15099735422064,-134.15099735422064
25798,Wholesale,245,0.0,61,-73.70126380636066,-73.70126380636066
25799,Regional_Warehouse,245,0.0,77,92.29873619363934,92.29873619363934
25800,Factory,245,0.0,33,28.29873619364298,28.29873619364298
25801,Retail,246,66.2148437677074,52,602.3446617014924,602.3446617014924
25802,Wholesale,246,0.0,40,-77.90905601415216,-77.90905601415216
25803,Regional_Warehouse,246,0.0,86,-31.90905601414852,-31.90905601414852
25804,Factory,246,0.0,39,-91.90905601414852,-91.90905601414852
25805,Retail,247,60.264843767707404,88,593.1858946912953,593.1858946912953
25806,Wholesale,247,0.0,27,-18.0,-18.0
25807,Regional_Warehouse,247,12.661547789448399,44,-886.3083452613864,-886.3083452613864
25808,Factory,247,0.0,45,-42.06142652661947,-42.06142652661947
25809,Retail,248,74.5879393466042,69,-1240.7296937107858,-1240.7296937107858
25810,Wholesale,248,0.0,18,145.87714694676106,145.87714694676106
25811,Regional_Warehouse,248,0.0,61,981.8386004878921,981.8386004878921
25812,Factory,248,0.0,19,55.93857347338053,55.93857347338053
25813,Retail,249,68.8379393466042,29,572.9564948124216,572.9564948124216
25814,Wholesale,249,0.0,90,-178.0,-178.0
25815,Regional_Warehouse,249,0.0,88,-106.0,-106.0
25816,Factory,249,0.0,18,-90.0,-90.0
25817,Retail,250,71.8269055797753,60,-215.39293192640162,-215.39293192640162
25818,Wholesale,250,0.0,5,-87.53240520194595,-87.53240520194595
25819,Regional_Warehouse,250,0.0,29,-11.532405201949587,-11.532405201949587
25820,Factory,250,0.0,51,42.46759479805041,42.46759479805041
25821,Retail,251,77.5269055797753,92,-451.9678604268429,-451.9678604268429
25822,Wholesale,251,0.0,45,102.0,102.0
25823,Regional_Warehouse,251,0.0,49,-48.0,-48.0
25824,Factory,251,0.0,22,72.0,72.0
25825,Retail,252,74.1269055797753,19,377.875975189595,377.875975189595
25826,Wholesale,252,0.0,20,-46.0,-46.0
25827,Regional_Warehouse,252,0.0,63,-120.0,-120.0
25828,Factory,252,0.0,51,20.0,20.0
25829,Retail,253,65.97690557977529,53,812.969125874527,812.969125874527
25830,Wholesale,253,0.0,19,-112.0,-112.0
25831,Regional_Warehouse,253,0.0,9,-36.0,-36.0
25832,Factory,253,0.0,14,-16.0,-16.0
25833,Retail,254,60.02690557977529,68,593.1924135457593,593.1924135457593
25834,Wholesale,254,0.0,87,-198.0,-198.0
25835,Regional_Warehouse,254,0.0,38,-92.0,-92.0
25836,Factory,254,0.0,92,-196.0,-196.0
25837,Retail,255,55.02690557977529,85,498.35542724438983,498.35542724438983
25838,Wholesale,255,0.0,98,-86.0,-86.0
25839,Regional_Warehouse,255,0.0,40,-10.0,-10.0
25840,Factory,255,0.0,29,-26.0,-26.0
25841,Retail,256,49.27690557977529,46,573.4924135457595,573.4924135457595
25842,Wholesale,256,0.0,57,-40.0,-40.0
25843,Regional_Warehouse,256,0.0,85,-54.0,-54.0
25844,Factory,256,0.0,86,-14.0,-14.0
25845,Retail,257,43.72690557977529,40,553.6499477923353,553.6499477923353
25846,Wholesale,257,0.0,62,-4.0,-4.0
25847,Regional_Warehouse,257,0.0,28,-150.0,-150.0
25848,Factory,257,0.0,73,-32.0,-32.0
25849,Retail,258,24.826905579775293,9,1888.8020025868552,1888.8020025868552
25850,Wholesale,258,0.0,60,-58.0,-58.0
25851,Regional_Warehouse,258,0.0,66,-158.0,-158.0
25852,Factory,258,0.0,65,-100.0,-100.0
25853,Retail,259,2.62690557977529,43,2219.319810806034,2219.319810806034
25854,Wholesale,259,0.0,18,-92.0,-92.0
25855,Regional_Warehouse,259,0.0,11,-120.0,-120.0
25856,Factory,259,0.0,42,-186.0,-186.0
25857,Retail,260,0.0,56,251.57239912119542,251.57239912119542
25858,Wholesale,260,0.0,56,-40.0,-40.0
25859,Regional_Warehouse,260,0.0,76,-78.0,-78.0
25860,Factory,260,0.0,81,-44.0,-44.0
25861,Retail,261,0.0,61,-11.899999999999977,-11.899999999999977
25862,Wholesale,261,0.0,59,-50.0,-50.0
25863,Regional_Warehouse,261,0.0,89,-114.0,-114.0
25864,Factory,261,0.0,80,-180.0,-180.0
25865,Retail,262,0.0,24,-10.0,-10.0
25866,Wholesale,262,0.0,79,-76.0,-76.0
25867,Regional_Warehouse,262,0.0,39,-126.0,-126.0
25868,Factory,262,0.0,41,-66.0,-66.0
25869,Retail,263,0.0,46,12.5,12.5
25870,Wholesale,263,0.0,29,-54.0,-54.0
25871,Regional_Warehouse,263,0.0,27,-102.0,-102.0
25872,Factory,263,0.0,31,-158.0,-158.0
25873,Retail,264,0.0,36,-11.100000000000023,-11.100000000000023
25874,Wholesale,264,0.0,27,-6.0,-6.0
25875,Regional_Warehouse,264,0.0,10,-176.0,-176.0
25876,Factory,264,0.0,92,-42.0,-42.0
25877,Retail,265,0.0,92,-12.600000000000023,-12.600000000000023
25878,Wholesale,265,0.0,52,-36.0,-36.0
25879,Regional_Warehouse,265,0.0,75,-40.0,-40.0
25880,Factory,265,0.0,69,-104.0,-104.0
25881,Retail,266,0.0,33,-14.799999999999955,-14.799999999999955
25882,Wholesale,266,0.0,15,-6.0,-6.0
25883,Regional_Warehouse,266,0.0,55,-46.0,-46.0
25884,Factory,266,0.0,78,-22.0,-22.0
25885,Retail,267,0.0,92,-16.299999999999955,-16.299999999999955
25886,Wholesale,267,0.0,32,-104.0,-104.0
25887,Regional_Warehouse,267,0.0,91,-154.0,-154.0
25888,Factory,267,0.0,4,-56.0,-56.0
25889,Retail,268,0.0,78,-11.899999999999977,-11.899999999999977
25890,Wholesale,268,0.0,7,-144.0,-144.0
25891,Regional_Warehouse,268,0.0,69,-164.0,-164.0
25892,Factory,268,0.0,53,-140.0,-140.0
25893,Retail,269,0.0,10,-10.0,-10.0
25894,Wholesale,269,0.0,45,-110.0,-110.0
25895,Regional_Warehouse,269,0.0,40,-170.0,-170.0
25896,Factory,269,0.0,16,-140.0,-140.0
25897,Retail,270,0.0,45,-11.5,-11.5
25898,Wholesale,270,0.0,9,-86.0,-86.0
25899,Regional_Warehouse,270,0.0,30,-156.0,-156.0
25900,Factory,270,0.0,50,-10.0,-10.0
25901,Retail,271,0.0,24,-11.100000000000023,-11.100000000000023
25902,Wholesale,271,0.0,35,-108.0,-108.0
25903,Regional_Warehouse,271,0.0,23,-140.0,-140.0
25904,Factory,271,0.0,11,-84.0,-84.0
25905,Retail,272,0.0,64,-12.600000000000023,-12.600000000000023
25906,Wholesale,272,0.0,6,-72.0,-72.0
25907,Regional_Warehouse,272,0.0,58,-76.0,-76.0
25908,Factory,272,0.0,28,-4.0,-4.0
25909,Retail,273,0.0,9,-14.800000000000011,-14.800000000000011
25910,Wholesale,273,0.0,99,-182.0,-182.0
25911,Regional_Warehouse,273,0.0,61,-14.0,-14.0
25912,Factory,273,0.0,49,-52.0,-52.0
25913,Retail,274,0.0,83,-16.30000000000001,-16.30000000000001
25914,Wholesale,274,0.0,8,-194.0,-194.0
25915,Regional_Warehouse,274,0.0,17,-168.0,-168.0
25916,Factory,274,0.0,60,-152.0,-152.0
25917,Retail,275,0.0,20,-11.899999999999977,-11.899999999999977
25918,Wholesale,275,0.0,76,-100.0,-100.0
25919,Regional_Warehouse,275,0.0,14,-176.0,-176.0
25920,Factory,275,0.0,89,-150.0,-150.0
25921,Retail,276,0.0,55,-10.0,-10.0
25922,Wholesale,276,0.0,16,-116.0,-116.0
25923,Regional_Warehouse,276,0.0,46,-94.0,-94.0
25924,Factory,276,0.0,2,-26.0,-26.0
25925,Retail,277,0.0,41,-11.5,-11.5
25926,Wholesale,277,0.0,39,-180.0,-180.0
25927,Regional_Warehouse,277,0.0,77,-80.0,-80.0
25928,Factory,277,0.0,79,-68.0,-68.0
25929,Retail,278,0.0,26,-11.100000000000023,-11.100000000000023
25930,Wholesale,278,0.0,98,-76.0,-76.0
25931,Regional_Warehouse,278,0.0,45,-78.0,-78.0
25932,Factory,278,0.0,19,-70.0,-70.0
25933,Retail,279,0.0,0,-12.600000000000023,-25.91999999999998
25934,Wholesale,279,0.0,63,-26.0,-26.0
25935,Regional_Warehouse,279,0.0,65,-4.0,-4.0
25936,Factory,279,0.0,68,-78.0,-78.0
25937,Retail,280,0.0,94,-14.800000000000011,-14.800000000000011
25938,Wholesale,280,0.0,45,-196.0,-196.0
25939,Regional_Warehouse,280,0.0,34,-148.0,-148.0
25940,Factory,280,0.0,81,-98.0,-98.0
25941,Retail,281,0.0,53,-16.30000000000001,-16.30000000000001
25942,Wholesale,281,0.0,30,-4.0,-4.0
25943,Regional_Warehouse,281,0.0,60,-110.0,-110.0
25944,Factory,281,0.0,23,-86.0,-86.0
25945,Retail,282,0.0,66,-11.899999999999977,-11.899999999999977
25946,Wholesale,282,0.0,50,-192.0,-192.0
25947,Regional_Warehouse,282,0.0,66,-172.0,-172.0
25948,Factory,282,0.0,61,-68.0,-68.0
25949,Retail,283,0.0,75,-10.0,-10.0
25950,Wholesale,283,0.0,44,-88.0,-88.0
25951,Regional_Warehouse,283,0.0,87,-70.0,-70.0
25952,Factory,283,0.0,85,-26.0,-26.0
25953,Retail,284,0.0,51,-11.5,-11.5
25954,Wholesale,284,0.0,70,-138.0,-138.0
25955,Regional_Warehouse,284,0.0,75,-68.0,-68.0
25956,Factory,284,0.0,16,-170.0,-170.0
25957,Retail,285,0.0,20,-11.100000000000023,-11.100000000000023
25958,Wholesale,285,0.0,58,-144.0,-144.0
25959,Regional_Warehouse,285,0.0,34,-34.0,-34.0
25960,Factory,285,0.0,91,-50.0,-50.0
25961,Retail,286,0.0,85,-12.600000000000023,-12.600000000000023
25962,Wholesale,286,0.0,75,-92.0,-92.0
25963,Regional_Warehouse,286,0.0,36,-106.0,-106.0
25964,Factory,286,0.0,32,-118.0,-118.0
25965,Retail,287,0.0,10,-14.800000000000011,-14.800000000000011
25966,Wholesale,287,0.0,61,-120.0,-120.0
25967,Regional_Warehouse,287,0.0,97,-18.0,-18.0
25968,Factory,287,0.0,2,-168.0,-168.0
25969,Retail,288,0.0,13,-16.30000000000001,-16.30000000000001
25970,Wholesale,288,0.0,55,-80.0,-80.0
25971,Regional_Warehouse,288,0.0,52,-116.0,-116.0
25972,Factory,288,0.0,11,-78.0,-78.0
25973,Retail,289,0.0,71,-11.899999999999977,-11.899999999999977
25974,Wholesale,289,0.0,90,-66.0,-66.0
25975,Regional_Warehouse,289,0.0,11,-82.0,-82.0
25976,Factory,289,0.0,95,-102.0,-102.0
25977,Retail,290,0.0,30,-10.0,-10.0
25978,Wholesale,290,0.0,12,-88.0,-88.0
25979,Regional_Warehouse,290,0.0,5,-176.0,-176.0
25980,Factory,290,0.0,96,-106.0,-106.0
25981,Retail,291,0.0,83,-11.5,-11.5
25982,Wholesale,291,0.0,31,-60.0,-60.0
25983,Regional_Warehouse,291,0.0,75,-162.0,-162.0
25984,Factory,291,0.0,46,-68.0,-68.0
25985,Retail,292,0.0,32,-11.100000000000023,-11.100000000000023
25986,Wholesale,292,0.0,51,-34.0,-34.0
25987,Regional_Warehouse,292,0.0,39,-110.0,-110.0
25988,Factory,292,0.0,98,-128.0,-128.0
25989,Retail,293,0.0,87,-12.599999999999994,-12.599999999999994
25990,Wholesale,293,0.0,35,-150.0,-150.0
25991,Regional_Warehouse,293,0.0,17,-136.0,-136.0
