,iteration,strategy,agent,money
138,6,Dumb,Wholesale,-4370.056809891434
139,6,Dumb,Regional Warehouse,-4528.884280813319
140,6,Dumb,Factory,-742.0773835028994
141,6,Dumber,Retail,-5487.90171856082
142,6,Dumber,Wholesale,-4240.21299793191
143,6,Dumber,Regional Warehouse,-4465.43786847795
144,6,Dumber,Factory,-5487.90171856082
145,7,Smart,Retail,3653.0778786123333
146,7,Smart,Wholesale,2863.513626898417
147,7,Smart,Regional Warehouse,2910.3916437194
148,7,Smart,Factory,3653.0778786123333
149,7,Dumb,Retail,1274.1841061211553
150,7,Dumb,Wholesale,-3974.086257277499
151,7,Dumb,Regional Warehouse,-4475.700701799143
152,7,Dumb,Factory,1274.1841061211553
153,7,Dumber,Retail,-4037.3626386178917
154,7,Dumber,Wholesale,-3827.507720430378
155,7,Dumber,Regional Warehouse,-4387.700945052003
156,7,Dumber,Factory,-4037.3626386178917
157,8,Smart,Retail,1085.1778897539834
158,8,Smart,Wholesale,1685.5793134095813
159,8,Smart,Regional Warehouse,4042.2900909172404
160,8,Smart,Factory,1085.1778897539834
161,8,Dumb,Retail,10.858939948363385
162,8,Dumb,Wholesale,-2483.6490210799493
163,8,Dumb,Regional Warehouse,-1160.6990141784459
164,8,Dumb,Factory,10.858939948363385
165,8,Dumber,Retail,-2909.4275295995244
166,8,Dumber,Wholesale,-2363.4290927366114
167,8,Dumber,Regional Warehouse,-1038.642303305843
168,8,Dumber,Factory,-2909.4275295995244
169,9,Smart,Retail,142.91564846142037
170,9,Smart,Wholesale,105.06582369605881
171,9,Smart,Regional Warehouse,130.02522807112223
172,9,Smart,Factory,142.91564846142037
173,9,Dumb,Retail,-83.64252646777193
174,9,Dumb,Wholesale,-644.3288128625148
175,9,Dumb,Regional Warehouse,-583.284449905959
176,9,Dumb,Factory,-83.64252646777193
177,9,Dumber,Retail,-593.3993251212139
178,9,Dumber,Wholesale,-590.9427654351659
179,9,Dumber,Regional Warehouse,-577.5989036327995
180,9,Dumber,Factory,-593.3993251212139
181,10,Smart,Retail,1734.5956230196853
182,10,Smart,Wholesale,-321.80311532968665
183,10,Smart,Regional Warehouse,3199.796688525249
184,10,Smart,Factory,1734.5956230196853
185,10,Dumb,Retail,-96.43553029292738
186,10,Dumb,Wholesale,-7104.241690581261
187,10,Dumb,Regional Warehouse,-5238.89281906035
188,10,Dumb,Factory,-96.43553029292738
189,10,Dumber,Retail,-6040.741704315305
190,10,Dumber,Wholesale,-7000.937686037961
191,10,Dumber,Regional Warehouse,-5112.836454349814
192,10,Dumber,Factory,-6040.741704315305
193,11,Smart,Retail,471.7436501171441
194,11,Smart,Wholesale,484.48183105269936
195,11,Smart,Regional Warehouse,776.87095142787
196,11,Smart,Factory,471.7436501171441
197,11,Dumb,Retail,-209.14311510098509
198,11,Dumb,Wholesale,-2442.6574299525955
199,11,Dumb,Regional Warehouse,-2233.9572544714397
200,11,Dumb,Factory,-209.14311510098509
201,11,Dumber,Retail,-2459.402947931101
202,11,Dumber,Wholesale,-2358.67326193925
203,11,Dumber,Regional Warehouse,-2199.542821146814
204,11,Dumber,Factory,-2459.402947931101
205,12,Smart,Retail,136.02263340731807
206,12,Smart,Wholesale,-313.2038158023857
207,12,Smart,Regional Warehouse,70.8695980619873
208,12,Smart,Factory,136.02263340731807
209,12,Dumb,Retail,-441.26948209105973
210,12,Dumb,Wholesale,-3350.5374582274017
211,12,Dumb,Regional Warehouse,-3186.065758487149
212,12,Dumb,Factory,-441.26948209105973
213,12,Dumber,Retail,-3102.732634705934
214,12,Dumber,Wholesale,-3283.8675546996133
215,12,Dumber,Regional Warehouse,-3161.2428575891145
216,12,Dumber,Factory,-3102.732634705934
217,13,Smart,Retail,1012.4214558937982
218,13,Smart,Wholesale,6528.388585619046
219,13,Smart,Regional Warehouse,12151.867157496134
220,13,Smart,Factory,1012.4214558937982
221,13,Dumb,Retail,-728.5488920280404
222,13,Dumb,Wholesale,-1333.8656818131365
223,13,Dumb,Regional Warehouse,2303.8435825877154
224,13,Dumb,Factory,-728.5488920280404
225,13,Dumber,Retail,-5046.002326780093
226,13,Dumber,Wholesale,-1072.6034077432619
227,13,Dumber,Regional Warehouse,2605.3542736412533
228,13,Dumber,Factory,-5046.002326780093
229,14,Smart,Retail,15127.195636121487
230,14,Smart,Wholesale,6773.5334769960955
231,14,Smart,Regional Warehouse,25941.06349846055
232,14,Smart,Factory,15127.195636121487
233,14,Dumb,Retail,8325.4533875848
234,14,Dumb,Wholesale,1761.7903826250454
235,14,Dumb,Regional Warehouse,13271.884912856323
236,14,Dumb,Factory,8325.4533875848
237,14,Dumber,Retail,6054.630291004065
238,14,Dumber,Wholesale,1968.5961680631744
239,14,Dumber,Regional Warehouse,13846.368304084606
240,14,Dumber,Factory,6054.630291004065
241,15,Smart,Retail,8351.955656227114
242,15,Smart,Wholesale,5149.808237225037
243,15,Smart,Regional Warehouse,11897.04267612749
244,15,Smart,Factory,8351.955656227114
245,15,Dumb,Retail,4113.141155046753
246,15,Dumb,Wholesale,-1665.5198771999412
247,15,Dumb,Regional Warehouse,1909.7599771019973
248,15,Dumb,Factory,4113.141155046753
249,15,Dumber,Retail,-333.70645525659245
250,15,Dumber,Wholesale,-1474.1441369575487
251,15,Dumber,Regional Warehouse,2210.779570729408
252,15,Dumber,Factory,-333.70645525659245
253,16,Smart,Retail,6363.54816403
254,16,Smart,Wholesale,1617.7764120094969
255,16,Smart,Regional Warehouse,6991.241394624186
256,16,Smart,Factory,6363.54816403
257,16,Dumb,Retail,1902.4015284339887
258,16,Dumb,Wholesale,-7908.143680880792
259,16,Dumb,Regional Warehouse,-5279.537442803181
260,16,Dumb,Factory,1902.4015284339887
261,16,Dumber,Retail,-5851.352287873328
262,16,Dumber,Wholesale,-7743.712388269591
263,16,Dumber,Regional Warehouse,-5054.500279398471
264,16,Dumber,Factory,-5851.352287873328
265,17,Smart,Retail,250.848011013677
266,17,Smart,Wholesale,1352.0662590719187
267,17,Smart,Regional Warehouse,6206.452495287809
268,17,Smart,Factory,250.848011013677
269,17,Dumb,Retail,-277.5709722078678
270,17,Dumb,Wholesale,-351.56049605772677
271,17,Dumb,Regional Warehouse,2844.4291007292054
272,17,Dumb,Factory,-277.5709722078678
273,17,Dumber,Retail,-1253.0677106721112
274,17,Dumber,Wholesale,-267.5896513237115
275,17,Dumber,Regional Warehouse,2976.4234384229144
276,17,Dumber,Factory,-1253.0677106721112
277,18,Smart,Retail,1217.0599252763225
278,18,Smart,Wholesale,6571.532347024359
279,18,Smart,Regional Warehouse,5625.24693933402
280,18,Smart,Factory,1217.0599252763225
281,18,Dumb,Retail,-297.6704560219819
282,18,Dumb,Wholesale,-2059.6583983406886
283,18,Dumb,Regional Warehouse,-2622.9553550334986
284,18,Dumb,Factory,-297.6704560219819
285,18,Dumber,Retail,-5324.622140994182
286,18,Dumber,Wholesale,-1792.8628171341313
287,18,Dumber,Regional Warehouse,-2460.0562792104292
288,18,Dumber,Factory,-5324.622140994182
289,19,Smart,Retail,5952.470205211481
290,19,Smart,Wholesale,7176.596416020166
291,19,Smart,Regional Warehouse,3387.632225037505
292,19,Smart,Factory,5952.470205211481
293,19,Dumb,Retail,2393.4804339529387
294,19,Dumb,Wholesale,-1314.2684434591977
295,19,Dumb,Regional Warehouse,-3972.295278294658
296,19,Dumb,Factory,2393.4804339529387
297,19,Dumber,Retail,-2179.8684635938375
298,19,Dumber,Wholesale,-1031.2882842861975
299,19,Dumber,Regional Warehouse,-3852.1217615969276
300,19,Dumber,Factory,-2179.8684635938375
301,20,Smart,Retail,8465.04749999581
302,20,Smart,Wholesale,1886.187948744957
303,20,Smart,Regional Warehouse,6064.179088028893
304,20,Smart,Factory,8465.04749999581
305,20,Dumb,Retail,3548.960990751461
306,20,Dumb,Wholesale,-4831.120998346462
307,20,Dumb,Regional Warehouse,-2246.4757970199553
308,20,Dumb,Factory,3548.960990751461
309,20,Dumber,Retail,-1459.9626661399084
310,20,Dumber,Wholesale,-4678.5465627898375
311,20,Dumber,Regional Warehouse,-2095.2014839892795
312,20,Dumber,Factory,-1459.9626661399084
313,21,Smart,Retail,7012.904432508237
314,21,Smart,Wholesale,10798.19805169657
315,21,Smart,Regional Warehouse,6625.334511629372
316,21,Smart,Factory,7012.904432508237
317,21,Dumb,Retail,3994.6737000245766
318,21,Dumb,Wholesale,7520.005817058073
319,21,Dumb,Regional Warehouse,4127.467200678038
320,21,Dumb,Factory,3994.6737000245766
321,21,Dumber,Retail,4515.562211641926
322,21,Dumber,Wholesale,7784.666236525692
323,21,Dumber,Regional Warehouse,4275.693318438355
324,21,Dumber,Factory,4515.562211641926
325,22,Smart,Retail,1569.1635266306926
326,22,Smart,Wholesale,1710.6125478092283
327,22,Smart,Regional Warehouse,4605.920439008183
328,22,Smart,Factory,1569.1635266306926
329,22,Dumb,Retail,848.9425314866764
330,22,Dumb,Wholesale,365.50923859435574
331,22,Dumb,Regional Warehouse,2465.3349875321114
332,22,Dumb,Factory,848.9425314866764
333,22,Dumber,Retail,490.687188267562
334,22,Dumber,Wholesale,462.1735436754952
335,22,Dumber,Regional Warehouse,2543.398413881113
336,22,Dumber,Factory,490.687188267562
337,23,Smart,Retail,8641.828682125502
338,23,Smart,Wholesale,11846.870772140128
339,23,Smart,Regional Warehouse,7461.344078881386
340,23,Smart,Factory,8641.828682125502
341,23,Dumb,Retail,4789.258475662262
342,23,Dumb,Wholesale,7039.137789997851
343,23,Dumb,Regional Warehouse,4106.348941984759
344,23,Dumb,Factory,4789.258475662262
345,23,Dumber,Retail,4407.136586772651
346,23,Dumber,Wholesale,7339.975163654555
347,23,Dumber,Regional Warehouse,4240.847802078071
348,23,Dumber,Factory,4407.136586772651
349,24,Smart,Retail,5004.443084853207
350,24,Smart,Wholesale,3416.003531356836
351,24,Smart,Regional Warehouse,6780.395319504603
352,24,Smart,Factory,5004.443084853207
353,24,Dumb,Retail,2326.832331279776
354,24,Dumb,Wholesale,-1468.6565641173818
355,24,Dumb,Regional Warehouse,545.0781789961059
356,24,Dumb,Factory,2326.832331279776
357,24,Dumber,Retail,-723.6179077032685
358,24,Dumber,Wholesale,-1315.6367293858557
359,24,Dumber,Regional Warehouse,701.8233017059644
360,24,Dumber,Factory,-723.6179077032685
