,iteracion,agente,estrategia,desempeño
226,9,Almacén Regional,Un agente óptimo,0.07728505369922126
227,9,Almacén Regional,Todos óptima,2.0809001296002583
231,9,Menudeo,Nadie óptima,0.0
232,9,Menudeo,Un agente óptimo,0.6647790175662264
233,9,Menudeo,Todos óptima,2.129121704982292
237,9,Mayoreo,Nadie óptima,0.0
238,9,Mayoreo,Un agente óptimo,0.49390466145352707
243,10,Fábrica,Nadie óptima,0.0
244,10,Fábrica,Un agente óptimo,1.360467734141705
245,10,Fábrica,Todos óptima,2.1034915735577684
249,10,Almacén Regional,Nadie óptima,0.0
250,10,Almacén Regional,Un agente óptimo,0.10321734073940508
251,10,Almacén Regional,Todos óptima,4.325265941721479
255,10,Menudeo,Nadie óptima,0.0
256,10,Menudeo,Un agente óptimo,1.360467734141705
257,10,Menudeo,Todos óptima,2.1034915735577684
261,10,Mayoreo,Nadie óptima,0.0
262,10,Mayoreo,Un agente óptimo,0.0312231457058561
263,10,Mayoreo,Todos óptima,1.2202569693858032
267,11,Fábrica,Nadie óptima,0.0
268,11,Fábrica,Un agente óptimo,1.0038407230121447
269,11,Fábrica,Todos óptima,1.3671945023281642
273,11,Almacén Regional,Nadie óptima,0.0
274,11,Almacén Regional,Un agente óptimo,0.028475236573221593
275,11,Almacén Regional,Todos óptima,1.794357593327373
279,11,Menudeo,Nadie óptima,0.0
280,11,Menudeo,Un agente óptimo,1.0038407230121447
281,11,Menudeo,Todos óptima,1.3671945023281642
285,11,Mayoreo,Nadie óptima,0.0
286,11,Mayoreo,Un agente óptimo,0.05040127544438716
287,11,Mayoreo,Todos óptima,2.0256558486987175
291,12,Fábrica,Nadie óptima,0.0
292,12,Fábrica,Un agente óptimo,1.7014765724256251
293,12,Fábrica,Todos óptima,2.867273174218134
297,12,Almacén Regional,Nadie óptima,0.0
298,12,Almacén Regional,Un agente óptimo,0.23907752947075353
303,12,Menudeo,Nadie óptima,0.0
304,12,Menudeo,Un agente óptimo,1.7014765724256251
305,12,Menudeo,Todos óptima,2.867273174218134
309,12,Mayoreo,Nadie óptima,0.0
310,12,Mayoreo,Un agente óptimo,0.17026106235539645
311,12,Mayoreo,Todos óptima,4.276683783162065
315,13,Fábrica,Nadie óptima,0.0
316,13,Fábrica,Un agente óptimo,1.061396026197734
317,13,Fábrica,Todos óptima,1.5358736753807831
321,13,Almacén Regional,Nadie óptima,0.0
322,13,Almacén Regional,Un agente óptimo,0.012066633839551208
323,13,Almacén Regional,Todos óptima,1.146091136963313
327,13,Menudeo,Nadie óptima,0.0
328,13,Menudeo,Un agente óptimo,1.061396026197734
329,13,Menudeo,Todos óptima,1.5358736753807831
333,13,Mayoreo,Nadie óptima,0.0
334,13,Mayoreo,Un agente óptimo,0.03240330073082735
335,13,Mayoreo,Todos óptima,0.976955779071617
339,14,Fábrica,Nadie óptima,0.0
340,14,Fábrica,Un agente óptimo,4.956759276911131
345,14,Almacén Regional,Nadie óptima,0.0
346,14,Almacén Regional,Un agente óptimo,0.10070337505183123
347,14,Almacén Regional,Todos óptima,2.782701410862666
351,14,Menudeo,Nadie óptima,0.0
352,14,Menudeo,Un agente óptimo,4.956759276911131
357,14,Mayoreo,Nadie óptima,0.0
358,14,Mayoreo,Un agente óptimo,0.25843350880703336
363,15,Fábrica,Nadie óptima,0.0
364,15,Fábrica,Un agente óptimo,1.00937384489605
365,15,Fábrica,Todos óptima,1.3160601699630683
369,15,Almacén Regional,Nadie óptima,0.0
370,15,Almacén Regional,Un agente óptimo,0.08735334158197852
371,15,Almacén Regional,Todos óptima,3.998729063289265
