,iteration,strategy,agent,money
121,10,Smart,Retail,3844.709961399413
122,10,Smart,Wholesale,1721.9680234635089
123,10,Smart,Regional Warehouse,578.0574893563733
124,10,Smart,Factory,3844.709961399413
125,10,Dumb,Retail,1201.3168547125479
126,10,Dumb,Wholesale,-4408.231664460108
127,10,Dumb,Regional Warehouse,-5588.07531505999
128,10,Dumb,Factory,1201.3168547125479
129,10,Dumber,Retail,-3450.772743608878
130,10,Dumber,Wholesale,-4270.069699296196
131,10,Dumber,Regional Warehouse,-5530.676087069574
132,10,Dumber,Factory,-3450.772743608878
133,11,Smart,Retail,3844.709961399413
134,11,Smart,Wholesale,1721.9680234635089
135,11,Smart,Regional Warehouse,578.0574893563733
136,11,Smart,Factory,3844.709961399413
137,11,Dumb,Retail,1201.3168547125479
138,11,Dumb,Wholesale,-4408.231664460108
139,11,Dumb,Regional Warehouse,-5588.07531505999
140,11,Dumb,Factory,1201.3168547125479
141,11,Dumber,Retail,-3450.772743608878
142,11,Dumber,Wholesale,-4270.069699296196
143,11,Dumber,Regional Warehouse,-5530.676087069574
144,11,Dumber,Factory,-3450.772743608878
145,12,Smart,Retail,3844.709961399413
146,12,Smart,Wholesale,1721.9680234635089
147,12,Smart,Regional Warehouse,578.0574893563733
148,12,Smart,Factory,3844.709961399413
149,12,Dumb,Retail,1201.3168547125479
150,12,Dumb,Wholesale,-4408.231664460108
151,12,Dumb,Regional Warehouse,-5588.07531505999
152,12,Dumb,Factory,1201.3168547125479
153,12,Dumber,Retail,-3450.772743608878
154,12,Dumber,Wholesale,-4270.069699296196
155,12,Dumber,Regional Warehouse,-5530.676087069574
156,12,Dumber,Factory,-3450.772743608878
157,13,Smart,Retail,3844.709961399413
158,13,Smart,Wholesale,1721.9680234635089
159,13,Smart,Regional Warehouse,578.0574893563733
160,13,Smart,Factory,3844.709961399413
161,13,Dumb,Retail,1201.3168547125479
162,13,Dumb,Wholesale,-4408.231664460108
163,13,Dumb,Regional Warehouse,-5588.07531505999
164,13,Dumb,Factory,1201.3168547125479
165,13,Dumber,Retail,-3450.772743608878
166,13,Dumber,Wholesale,-4270.069699296196
167,13,Dumber,Regional Warehouse,-5530.676087069574
168,13,Dumber,Factory,-3450.772743608878
169,14,Smart,Retail,3844.709961399413
170,14,Smart,Wholesale,1721.9680234635089
171,14,Smart,Regional Warehouse,578.0574893563733
172,14,Smart,Factory,3844.709961399413
173,14,Dumb,Retail,1201.3168547125479
174,14,Dumb,Wholesale,-4408.231664460108
175,14,Dumb,Regional Warehouse,-5588.07531505999
176,14,Dumb,Factory,1201.3168547125479
177,14,Dumber,Retail,-3450.772743608878
178,14,Dumber,Wholesale,-4270.069699296196
179,14,Dumber,Regional Warehouse,-5530.676087069574
180,14,Dumber,Factory,-3450.772743608878
181,15,Smart,Retail,3844.709961399413
182,15,Smart,Wholesale,1721.9680234635089
183,15,Smart,Regional Warehouse,578.0574893563733
184,15,Smart,Factory,3844.709961399413
185,15,Dumb,Retail,1201.3168547125479
186,15,Dumb,Wholesale,-4408.231664460108
187,15,Dumb,Regional Warehouse,-5588.07531505999
188,15,Dumb,Factory,1201.3168547125479
189,15,Dumber,Retail,-3450.772743608878
190,15,Dumber,Wholesale,-4270.069699296196
191,15,Dumber,Regional Warehouse,-5530.676087069574
192,15,Dumber,Factory,-3450.772743608878
