,iteration,strategy,agent,money,index
0,0,Smart,Retail,4150.632791941139,5.517853692747883
1,0,Smart,Wholesale,6649.4695068897845,8.512395685705524
2,0,Smart,Regional Warehouse,5269.147318819519,2318.288675669074
3,0,Smart,Factory,4150.632791941139,5.517853692747883
4,0,Dumb,Retail,1898.2684340500587,3.066214836265722
5,0,Dumb,Wholesale,452.46604363474535,-0.35272489979241006
6,0,Dumb,Regional Warehouse,-120.07788919817759,-51.808379800533274
7,0,Dumb,Factory,1898.2684340500587,3.066214836265722
8,0,Dumber,Retail,-918.7178413067666,0.0
9,0,Dumber,Wholesale,699.0320552878263,0.0
10,0,Dumber,Regional Warehouse,-2.2738415693064873,0.0
11,0,Dumber,Factory,-918.7178413067666,0.0
12,1,Smart,Retail,3844.709961399413,2.11415913102946
13,1,Smart,Wholesale,1721.9680234635089,1.4032646173778682
14,1,Smart,Regional Warehouse,578.0574893563733,1.10451841334694
15,1,Smart,Factory,3844.709961399413,2.11415913102946
16,1,Dumb,Retail,1201.3168547125479,1.3481298085877975
17,1,Dumb,Wholesale,-4408.231664460108,-0.03235590397662228
18,1,Dumb,Regional Warehouse,-5588.07531505999,-0.010378338396025814
19,1,Dumb,Factory,1201.3168547125479,1.3481298085877975
20,1,Dumber,Retail,-3450.772743608878,0.0
21,1,Dumber,Wholesale,-4270.069699296196,0.0
22,1,Dumber,Regional Warehouse,-5530.676087069574,0.0
23,1,Dumber,Factory,-3450.772743608878,0.0
24,2,Smart,Retail,3844.709961399413,2.11415913102946
25,2,Smart,Wholesale,1721.9680234635089,1.4032646173778682
26,2,Smart,Regional Warehouse,578.0574893563733,1.10451841334694
27,2,Smart,Factory,3844.709961399413,2.11415913102946
28,2,Dumb,Retail,1201.3168547125479,1.3481298085877975
29,2,Dumb,Wholesale,-4408.231664460108,-0.03235590397662228
30,2,Dumb,Regional Warehouse,-5588.07531505999,-0.010378338396025814
31,2,Dumb,Factory,1201.3168547125479,1.3481298085877975
32,2,Dumber,Retail,-3450.772743608878,0.0
33,2,Dumber,Wholesale,-4270.069699296196,0.0
34,2,Dumber,Regional Warehouse,-5530.676087069574,0.0
35,2,Dumber,Factory,-3450.772743608878,0.0
36,3,Smart,Retail,3844.709961399413,2.11415913102946
37,3,Smart,Wholesale,1721.9680234635089,1.4032646173778682
38,3,Smart,Regional Warehouse,578.0574893563733,1.10451841334694
39,3,Smart,Factory,3844.709961399413,2.11415913102946
40,3,Dumb,Retail,1201.3168547125479,1.3481298085877975
41,3,Dumb,Wholesale,-4408.231664460108,-0.03235590397662228
42,3,Dumb,Regional Warehouse,-5588.07531505999,-0.010378338396025814
43,3,Dumb,Factory,1201.3168547125479,1.3481298085877975
44,3,Dumber,Retail,-3450.772743608878,0.0
45,3,Dumber,Wholesale,-4270.069699296196,0.0
46,3,Dumber,Regional Warehouse,-5530.676087069574,0.0
47,3,Dumber,Factory,-3450.772743608878,0.0
48,4,Smart,Retail,3844.709961399413,2.11415913102946
49,4,Smart,Wholesale,1721.9680234635089,1.4032646173778682
50,4,Smart,Regional Warehouse,578.0574893563733,1.10451841334694
51,4,Smart,Factory,3844.709961399413,2.11415913102946
52,4,Dumb,Retail,1201.3168547125479,1.3481298085877975
53,4,Dumb,Wholesale,-4408.231664460108,-0.03235590397662228
54,4,Dumb,Regional Warehouse,-5588.07531505999,-0.010378338396025814
55,4,Dumb,Factory,1201.3168547125479,1.3481298085877975
56,4,Dumber,Retail,-3450.772743608878,0.0
57,4,Dumber,Wholesale,-4270.069699296196,0.0
58,4,Dumber,Regional Warehouse,-5530.676087069574,0.0
59,4,Dumber,Factory,-3450.772743608878,0.0
60,5,Smart,Retail,3844.709961399413,2.11415913102946
61,5,Smart,Wholesale,1721.9680234635089,1.4032646173778682
62,5,Smart,Regional Warehouse,578.0574893563733,1.10451841334694
63,5,Smart,Factory,3844.709961399413,2.11415913102946
64,5,Dumb,Retail,1201.3168547125479,1.3481298085877975
65,5,Dumb,Wholesale,-4408.231664460108,-0.03235590397662228
66,5,Dumb,Regional Warehouse,-5588.07531505999,-0.010378338396025814
67,5,Dumb,Factory,1201.3168547125479,1.3481298085877975
68,5,Dumber,Retail,-3450.772743608878,0.0
69,5,Dumber,Wholesale,-4270.069699296196,0.0
70,5,Dumber,Regional Warehouse,-5530.676087069574,0.0
71,5,Dumber,Factory,-3450.772743608878,0.0
72,6,Smart,Retail,3844.709961399413,2.11415913102946
73,6,Smart,Wholesale,1721.9680234635089,1.4032646173778682
74,6,Smart,Regional Warehouse,578.0574893563733,1.10451841334694
75,6,Smart,Factory,3844.709961399413,2.11415913102946
76,6,Dumb,Retail,1201.3168547125479,1.3481298085877975
77,6,Dumb,Wholesale,-4408.231664460108,-0.03235590397662228
78,6,Dumb,Regional Warehouse,-5588.07531505999,-0.010378338396025814
79,6,Dumb,Factory,1201.3168547125479,1.3481298085877975
80,6,Dumber,Retail,-3450.772743608878,0.0
81,6,Dumber,Wholesale,-4270.069699296196,0.0
