,agent,iterations,total_money
1,Retail,100,4680.631918214601
2,Wholesale,100,6257.595733680799
3,Regional Warehouse,100,6143.294146442612
4,Factory,100,5894.079545717931
5,Retail,500,4294.072602739721
6,Wholesale,500,5494.479452054784
7,Regional Warehouse,500,5798.164383561634
8,Factory,500,5713.60273972603
9,Retail,1000,4826.606849315069
10,Wholesale,1000,5288.849315068495
11,Regional Warehouse,1000,6497.849315068491
12,Factory,1000,6291.041095890413
13,Retail,1500,4709.910958904108
14,Wholesale,1500,6391.67123287672
15,Regional Warehouse,1500,6371.178082191781
16,Factory,1500,6174.6027397260295
17,Retail,2000,4151.857534246575
18,Wholesale,2000,5919.3972602739805
19,Regional Warehouse,2000,5719.32876712331
20,Factory,2000,5490.328767123288
21,Retail,2500,3787.157534246567
22,Wholesale,2500,5555.452054794524
23,Regional Warehouse,2500,5096.9726027397255
24,Factory,2500,5014.931506849319
25,Retail,3500,5028.70273972603
26,Wholesale,3500,6736.2739726027385
27,Regional Warehouse,3500,6668.904109589041
28,Factory,3500,6532.287671232877
29,Retail,4000,3936.7575342465625
30,Wholesale,4000,4017.0821917808134
31,Regional Warehouse,4000,5182.602739725999
32,Factory,4000,5535.8904109589
33,Retail,5000,4902.695890410964
34,Wholesale,5000,4494.630136986305
35,Regional Warehouse,5000,6931.191780821919
36,Factory,5000,5635.295937571892
37,Retail,6000,4055.2205479451986
38,Wholesale,6000,5754.136986301374
39,Regional Warehouse,6000,5552.150684931508
40,Factory,6000,5479.205479452056
41,Retail,7500,5022.410958904097
42,Wholesale,7500,6631.739726027394
43,Regional Warehouse,7500,6547.986301369862
44,Factory,7500,6300.164383561639
45,Retail,10000,4470.709589041089
46,Wholesale,10000,4062.917808219172
47,Regional Warehouse,10000,6314.630136986304
48,Factory,10000,6147.739726027393
49,Retail,12500,5148.852054794524
50,Wholesale,12500,6827.0136986301395
51,Regional Warehouse,12500,6558.123287671231
52,Factory,12500,6455.342465753424
53,Retail,15000,5006.8260273972355
54,Wholesale,15000,6472.616438356167
55,Regional Warehouse,15000,6595.616438356168
56,Factory,15000,6464.438356164391
57,Retail,17500,4630.576712328744
58,Wholesale,17500,6415.5616438356155
59,Regional Warehouse,17500,6293.0
60,Factory,17500,5465.315068493188
61,Retail,20000,5087.309589041087
62,Wholesale,20000,1859.8082191780807
63,Regional Warehouse,20000,7127.170722362302
64,Factory,20000,7021.310811520374
65,Retail,25000,4596.51643835617
66,Wholesale,25000,6387.7534246575115
67,Regional Warehouse,25000,5213.643835616397
68,Factory,25000,6120.575342465749
69,Retail,30000,3958.698630136985
70,Wholesale,30000,5719.8904109589075
71,Regional Warehouse,30000,5404.013698630133
72,Factory,30000,5362.99999999999
73,Retail,35000,4108.0506849315125
74,Wholesale,35000,5879.808219178082
75,Regional Warehouse,35000,5436.547945205484
76,Factory,35000,5385.849315068493
77,Retail,40000,3624.57808219178
78,Wholesale,40000,3536.589041095874
79,Regional Warehouse,40000,5222.972602739717
80,Factory,40000,5155.958904109578
81,Retail,45000,5119.289041095889
82,Wholesale,45000,3909.863013698614
83,Regional Warehouse,45000,6987.561643835612
84,Factory,45000,6823.589041095889
85,Retail,50000,1909.8369863013575
86,Wholesale,50000,5714.547945205472
87,Regional Warehouse,50000,5538.479452054793
88,Factory,50000,5231.027397260273
89,Retail,60000,3462.067123287674
90,Wholesale,60000,5180.589041095893
91,Regional Warehouse,60000,4998.835616438355
92,Factory,60000,4832.657534246571
93,Retail,75000,4874.456164383543
94,Wholesale,75000,6618.424657534245
95,Regional Warehouse,75000,6472.13698630137
96,Factory,75000,6196.520547945205
97,Retail,100000,5601.223287671221
98,Wholesale,100000,7295.424657534248
99,Regional Warehouse,100000,7198.0
100,Factory,100000,6941.698630136985
101,Retail,125000,4565.867123287657
102,Wholesale,125000,4381.16438356161
103,Regional Warehouse,125000,6283.123287671221
104,Factory,125000,6111.547945205479
105,Retail,150000,3936.7301369863007
106,Wholesale,150000,5737.698630137011
107,Regional Warehouse,150000,5507.999999999998
108,Factory,150000,5407.410958904123
109,Retail,200000,4171.642465753416
110,Wholesale,200000,6013.068493150698
111,Regional Warehouse,200000,5698.397260273978
112,Factory,200000,3038.3561643835546
113,Retail,500000,4427.464383561634
114,Wholesale,500000,6122.0410958904085
115,Regional Warehouse,500000,5971.931506849314
116,Factory,500000,5741.794520547945
117,Retail,1000000,5016.634246575325
118,Wholesale,1000000,6792.438356164381
119,Regional Warehouse,1000000,6611.8356164383595
120,Factory,1000000,4370.260500765017
